hosp10 RECORD COUNTS BY YEAR FOR THE QUARTER ENDING 2020-03-31 [hosp10.hosp10]  
FY,       RPT count,  ALPHA count,    NMRC count,     ROLLUP count              
2010 ,         2323,      1352988,      7408064,       751400                   
2011 ,         6150,      3545739,     19353253,      2001382                   
2012 ,         6227,      3608395,     19698554,      2023167                   
2013 ,         6248,      3678665,     19923117,      2052566                   
2014 ,         6249,      3688743,     19849304,      2050312                   
2015 ,         6257,      3693407,     19737033,      2036733                   
2016 ,         6211,      3696393,     19584812,      2019498                   
2017 ,         6166,      3684286,     19403209,      2873071                   
2018 ,         6121,      3661249,     19282180,      2008962                   
2019 ,          989,       598491,      3321089,       342234                   
TOTAL,        52941,     31208356,    167560615,     18159325                   
