CBSAGEO	# of provs in CBSAGEO	CBSAGEO unadjusted wages	CBSAGEO hours	CBSAGEO unadjusted AHW	CBSAGEO unadjusted wage index 	CBSAGEO occmix wages	CBSAGEO occmix AHW	CBSAGEO occmix wage index	cbsarnsal	cbsarnhr	cbsalpnstsal	cbsalpnsthr	cbsanaoratsal	cbsanaorathr	cbsamasal	cbsamahr	cbsanursesal	cbsanursehr	cbsaallothersal	cbsaallotherhr	cbsatotalsal	cbsatotalhr	cbsarnpct	cbsalpnstpct	cbsanaoratspct	cbsamapct	cbsanursevar	cbsaallothervar	cbsaadjrnahw	cbsaadjlpnstahw	cbsaadjnaoratahw	cbsaadjmaahw	cbsaadjnurseahw	cbsanurseoccmixfactor
11020	2	"$218,977,575.63"	"5,301,675"	$41.30	0.9346	"$215,051,454.14"	$40.56	0.9187	"54,332,491"	"1,628,171"	"4,157,884"	"197,204"	"3,635,630"	"235,425"	"932,529"	"64,987"	"63,058,534"	"2,125,787"	"93,693,011"	"3,193,353"	"156,751,545"	"5,319,140"	0.76591	0.09277	0.11075	0.03057	0.40228	0.59772	31.89	2.29	1.88	0.55	36.61	0.9557
11100	3	"$311,760,285.46"	"8,386,903"	$37.17	0.8411	"$313,095,676.81"	$37.33	0.8455	"71,561,989"	"2,132,879"	"7,753,951"	"334,287"	"9,254,749"	"674,191"	"173,589"	"11,817"	"88,744,279"	"3,153,173"	"154,587,635"	"5,004,723"	"243,331,914"	"8,157,896"	0.67642	0.10602	0.21381	0.00375	0.36470	0.63530	28.17	2.62	3.63	0.07	34.49	1.0145
11180	1	"$74,412,354.56"	"1,830,715"	$40.65	0.9199	"$74,350,372.04"	$40.61	0.9198	"16,403,538"	"525,002"	"447,301"	"20,316"	"2,981,942"	"179,327"	0	0	"19,832,781"	"724,644"	"27,787,696"	"930,863"	"47,620,477"	"1,655,508"	0.72450	0.02804	0.24747	0.00000	0.41648	0.58352	30.17	0.69	4.20	0.00	35.06	0.9980
11244	22	"$3,268,676,981.80"	"58,813,288"	$55.58	1.2578	"$3,192,288,239.90"	$54.28	1.2294	"1,033,595,194"	"18,935,357"	"37,793,022"	"1,295,816"	"73,077,263"	"3,576,418"	"7,161,352"	"314,263"	"1,151,626,831"	"24,121,854"	"1,324,016,837"	"34,649,472"	"2,475,643,668"	"58,771,326"	0.78499	0.05372	0.14826	0.01303	0.46518	0.53482	32.69	1.33	2.52	0.24	36.78	0.9513
11260	3	"$481,981,208.32"	"8,873,944"	$54.31	1.2290	"$476,915,967.69"	$53.74	1.2172	"146,465,558"	"2,807,934"	"5,147,534"	"141,785"	"15,311,822"	"732,813"	"1,106,875"	"54,396"	"168,031,789"	"3,736,928"	"204,343,804"	"5,095,157"	"372,375,593"	"8,832,085"	0.75140	0.03794	0.19610	0.01456	0.45124	0.54876	31.29	0.94	3.33	0.26	35.82	0.9768
11460	4	"$1,919,065,389.10"	"43,564,109"	$44.05	0.9968	"$1,949,630,270.00"	$44.75	1.0136	"397,169,270"	"9,765,862"	"14,243,320"	"604,019"	"46,790,542"	"2,730,428"	"31,911,774"	"1,879,100"	"490,114,907"	"14,979,409"	"904,373,880"	"28,250,184"	"1,394,488,788"	"43,229,593"	0.65195	0.04032	0.18228	0.12545	0.35147	0.64853	27.15	1.00	3.09	2.27	33.51	1.0442
11500	3	"$122,245,083.63"	"3,657,916"	$33.42	0.7563	"$126,916,094.87"	$34.70	0.7860	"25,018,651"	"782,543"	"2,948,158"	"161,291"	"4,915,166"	"393,037"	"45,697"	"4,087"	"32,927,672"	"1,340,957"	"39,404,439"	"1,754,477"	"72,332,111"	"3,095,434"	0.58357	0.12028	0.29310	0.00305	0.45523	0.54477	24.30	2.97	4.97	0.06	32.30	1.0833
11540	2	"$193,277,025.42"	"4,801,882"	$40.25	0.9108	"$193,278,591.04"	$40.25	0.9117	"45,087,114"	"1,353,440"	"4,547,790"	"197,891"	"5,948,542"	"367,339"	"380,318"	"22,736"	"55,963,765"	"1,941,407"	"91,914,903"	"3,083,666"	"147,878,668"	"5,025,072"	0.69714	0.10193	0.18921	0.01171	0.37844	0.62156	29.03	2.52	3.21	0.21	34.97	1.0006
11640	2	"$41,438,165.15"	"2,572,049"	$16.11	0.3646	"$40,535,872.61"	$15.76	0.3570	"11,017,723"	"742,586"	"2,626,625"	"267,266"	"182,992"	"19,600"	0	0	"13,827,340"	"1,029,452"	"16,308,815"	"1,263,118"	"30,136,155"	"2,292,570"	0.72134	0.25962	0.01904	0.00000	0.45883	0.54117	30.04	6.41	0.32	0.00	36.77	0.9516
11700	4	"$634,515,601.84"	"16,353,982"	$38.80	0.8780	"$638,339,125.63"	$39.03	0.8840	"166,802,594"	"4,585,942"	"7,420,110"	"297,644"	"19,130,816"	"1,200,607"	"9,987,969"	"577,071"	"203,341,489"	"6,661,264"	"299,694,752"	"10,036,476"	"503,036,241"	"16,697,740"	0.68845	0.04468	0.18024	0.08663	0.40423	0.59577	28.67	1.10	3.06	1.57	34.40	1.0172
12020	2	"$262,322,722.30"	"6,677,243"	$39.29	0.8891	"$260,072,347.59"	$38.95	0.8822	"77,238,515"	"2,070,603"	"5,629,986"	"226,291"	"7,372,778"	"508,842"	"315,833"	"20,346"	"90,557,111"	"2,826,082"	"120,475,494"	"4,059,241"	"211,032,606"	"6,885,322"	0.73268	0.08007	0.18005	0.00720	0.42911	0.57089	30.51	1.98	3.06	0.13	35.68	0.9807
12060	33	"$5,002,747,583.50"	"120,817,217"	$41.41	0.9371	"$4,949,879,229.00"	$40.97	0.9280	"1,461,280,551"	"36,408,009"	"67,973,865"	"2,654,450"	"146,431,386"	"8,954,228"	"13,455,902"	"771,548"	"1,689,141,703"	"48,788,235"	"2,073,999,919"	"67,097,654"	"3,763,141,622"	"115,885,890"	0.74625	0.05441	0.18353	0.01581	0.44886	0.55114	31.07	1.34	3.11	0.29	35.81	0.9771
12100	2	"$432,623,354.91"	"8,111,439"	$53.33	1.2068	"$437,684,213.30"	$53.96	1.2222	"101,120,201"	"2,385,866"	"3,615,190"	"125,122"	"16,161,909"	"965,555"	"442,662"	"25,975"	"121,339,962"	"3,502,518"	"166,270,773"	"4,905,057"	"287,610,735"	"8,407,575"	0.68119	0.03572	0.27567	0.00742	0.42189	0.57811	28.36	0.88	4.68	0.13	34.05	1.0276
12220	1	"$144,284,216.65"	"4,814,526"	$29.97	0.6782	"$143,532,127.98"	$29.81	0.6752	"36,281,224"	"1,207,209"	"1,225,547"	"70,785"	"3,867,646"	"324,838"	"472,357"	"42,369"	"41,846,774"	"1,645,201"	"57,862,260"	"2,512,190"	"99,709,034"	"4,157,391"	0.73378	0.04303	0.19745	0.02575	0.41969	0.58031	30.55	1.06	3.35	0.47	35.43	0.9876
12260	7	"$746,246,413.74"	"19,135,308"	$39.00	0.8826	"$739,213,748.93"	$38.63	0.8750	"215,122,367"	"5,841,478"	"13,677,599"	"623,605"	"17,341,635"	"1,325,739"	"2,504,287"	"154,051"	"248,645,889"	"7,944,873"	"292,405,472"	"10,926,696"	"541,051,362"	"18,871,569"	0.73525	0.07849	0.16687	0.01939	0.45956	0.54044	30.62	1.94	2.83	0.35	35.74	0.9790
12420	19	"$1,467,263,082.60"	"35,334,900"	$41.52	0.9396	"$1,454,205,516.40"	$41.15	0.9320	"398,589,844"	"10,882,190"	"30,181,886"	"1,187,094"	"41,968,930"	"2,478,606"	"3,417,969"	"215,784"	"474,158,630"	"14,763,674"	"668,111,559"	"19,719,709"	"1,142,270,189"	"34,483,383"	0.73709	0.08041	0.16789	0.01462	0.41510	0.58490	30.69	1.99	2.85	0.27	35.80	0.9774
12540	7	"$808,724,906.88"	"14,739,761"	$54.87	1.2417	"$793,231,140.90"	$53.82	1.2190	"234,928,064"	"4,471,858"	"13,259,704"	"518,557"	"13,201,975"	"747,106"	"2,227,401"	"124,668"	"263,617,144"	"5,862,189"	"318,822,281"	"8,794,321"	"582,439,425"	"14,656,510"	0.76283	0.08846	0.12744	0.02127	0.45261	0.54739	31.76	2.18	2.16	0.39	36.49	0.9589
12580	23	"$4,538,776,255.70"	"107,202,426"	$42.34	0.9581	"$4,509,756,906.50"	$42.07	0.9529	"1,349,148,855"	"32,819,840"	"50,428,568"	"1,838,335"	"143,374,947"	"8,463,215"	"24,748,150"	"1,383,073"	"1,567,700,520"	"44,504,463"	"1,954,906,240"	"62,150,260"	"3,522,606,760"	"106,654,723"	0.73745	0.04131	0.19017	0.03108	0.44504	0.55496	30.71	1.02	3.23	0.56	35.52	0.9851
12620	2	"$427,868,022.00"	"9,458,509"	$45.24	1.0238	"$441,563,700.46"	$46.68	1.0573	"93,331,709"	"2,242,739"	"5,996,326"	"246,720"	"11,476,478"	"747,049"	"8,366,037"	"499,636"	"119,170,550"	"3,736,144"	"160,786,398"	"5,776,935"	"279,956,948"	"9,513,079"	0.60028	0.06604	0.19995	0.13373	0.42567	0.57433	25.00	1.63	3.39	2.42	32.44	1.0786
12700	2	"$306,311,706.59"	"5,500,671"	$55.69	1.2602	"$310,722,307.06"	$56.49	1.2795	"71,572,609"	"1,322,092"	"3,428,736"	"89,905"	"13,308,120"	"505,360"	"2,348,572"	"75,238"	"90,658,037"	"1,992,595"	"143,618,804"	"3,560,741"	"234,276,841"	"5,553,336"	0.66350	0.04512	0.25362	0.03776	0.38697	0.61303	27.63	1.11	4.30	0.68	33.72	1.0377
12940	8	"$784,832,071.13"	"22,235,016"	$35.30	0.7988	"$790,296,344.03"	$35.54	0.8050	"207,581,044"	"5,940,037"	"15,447,915"	"761,162"	"26,373,513"	"1,876,983"	"4,435,787"	"211,329"	"253,838,260"	"8,789,511"	"345,847,836"	"12,699,230"	"599,686,096"	"21,488,741"	0.67581	0.08660	0.21355	0.02404	0.42329	0.57671	28.14	2.14	3.62	0.44	34.34	1.0189
12980	2	"$144,985,194.57"	"3,666,648"	$39.54	0.8948	"$145,261,738.51"	$39.62	0.8974	"31,335,526"	"825,684"	"1,226,735"	"46,969"	"4,617,016"	"259,598"	"743,915"	"46,751"	"37,923,191"	"1,179,002"	"79,976,699"	"2,771,419"	"117,899,890"	"3,950,421"	0.70032	0.03984	0.22018	0.03965	0.32166	0.67834	29.16	0.98	3.74	0.72	34.60	1.0113
13020	1	"$135,229,911.31"	"3,278,727"	$41.24	0.9332	"$139,918,259.85"	$42.67	0.9665	"31,901,486"	"781,032"	"1,923,057"	"80,746"	"5,057,936"	"307,383"	"1,962,312"	"138,453"	"40,844,790"	"1,307,614"	"57,269,387"	"2,046,074"	"98,114,177"	"3,353,688"	0.59730	0.06175	0.23507	0.10588	0.41630	0.58370	24.87	1.52	3.99	1.92	32.30	1.0833
13140	3	"$336,877,696.04"	"8,938,807"	$37.69	0.8529	"$336,883,491.41"	$37.69	0.8537	"101,245,106"	"2,839,903"	"16,784,811"	"730,664"	"8,069,654"	"609,212"	"317,582"	"20,044"	"126,417,153"	"4,199,823"	"136,486,695"	"4,668,489"	"262,903,848"	"8,868,312"	0.67620	0.17397	0.14506	0.00477	0.48085	0.51915	28.16	4.30	2.46	0.09	35.01	0.9994
13220	2	"$100,103,800.72"	"3,023,038"	$33.11	0.7493	"$103,352,653.96"	$34.19	0.7744	"24,904,999"	"694,781"	"4,487,466"	"259,748"	"3,046,232"	"240,723"	"476,810"	"34,134"	"32,915,506"	"1,229,386"	"44,809,555"	"1,803,036"	"77,725,061"	"3,032,422"	0.56514	0.21128	0.19581	0.02777	0.42349	0.57651	23.53	5.22	3.32	0.50	32.57	1.0743
13380	1	"$215,375,461.40"	"4,031,880"	$53.42	1.2089	"$215,809,448.34"	$53.53	1.2125	"59,465,769"	"1,161,137"	"2,040,933"	"76,758"	"6,454,662"	"349,465"	"1,072,807"	"50,983"	"69,034,171"	"1,638,343"	"68,688,920"	"1,910,184"	"137,723,091"	"3,548,527"	0.70873	0.04685	0.21330	0.03112	0.50125	0.49875	29.51	1.16	3.62	0.56	34.85	1.0040
13460	2	"$265,244,194.47"	"5,163,870"	$51.37	1.1625	"$258,609,238.08"	$50.08	1.1343	"68,575,644"	"1,336,403"	"1,524,844"	"62,068"	"4,070,879"	"221,841"	"748,389"	"34,325"	"74,919,756"	"1,654,637"	"101,499,573"	"2,928,604"	"176,419,329"	"4,583,241"	0.80767	0.03751	0.13407	0.02074	0.42467	0.57533	33.63	0.93	2.28	0.38	37.22	0.9401
13740	2	"$343,714,683.35"	"8,432,715"	$40.76	0.9224	"$343,986,767.51"	$40.79	0.9239	"83,126,221"	"2,120,335"	"7,658,384"	"328,885"	"6,594,686"	"439,694"	"2,768,800"	"166,125"	"100,148,091"	"3,055,039"	"180,984,135"	"5,654,176"	"281,132,226"	"8,709,215"	0.69405	0.10765	0.14392	0.05438	0.35623	0.64377	28.90	2.66	2.44	0.99	34.99	1.0000
13780	2	"$402,898,269.32"	"10,841,377"	$37.16	0.8409	"$414,931,956.46"	$38.27	0.8668	"76,668,919"	"2,180,479"	"11,702,657"	"613,076"	"9,846,053"	"692,360"	"5,229,072"	"336,410"	"103,446,702"	"3,822,325"	"176,402,452"	"6,568,694"	"279,849,154"	"10,391,019"	0.57046	0.16039	0.18114	0.08801	0.36965	0.63035	23.75	3.96	3.07	1.60	32.38	1.0806
13820	12	"$1,381,642,312.40"	"39,918,630"	$34.61	0.7832	"$1,378,075,298.40"	$34.52	0.7819	"428,011,469"	"13,324,924"	"24,366,346"	"1,115,598"	"42,997,484"	"3,295,032"	"13,930,924"	"938,856"	"509,306,222"	"18,674,410"	"593,604,907"	"20,760,701"	"1,102,911,129"	"39,435,111"	0.71354	0.05974	0.17645	0.05028	0.46178	0.53822	29.71	1.47	2.99	0.91	35.08	0.9974
13900	2	"$260,972,054.64"	"6,829,433"	$38.21	0.8647	"$269,032,598.25"	$39.39	0.8922	"31,031,496"	"970,556"	"5,469,667"	"223,324"	"7,157,438"	"398,128"	"359,508"	"17,380"	"44,018,109"	"1,609,388"	"44,669,061"	"1,571,707"	"88,687,170"	"3,181,095"	0.60306	0.13876	0.24738	0.01080	0.49633	0.50367	25.11	3.43	4.20	0.20	32.94	1.0622
13980	3	"$122,599,935.82"	"3,200,562"	$38.31	0.8669	"$119,245,888.77"	$37.26	0.8439	"32,384,539"	"958,695"	"1,698,980"	"78,344"	"1,000,807"	"69,369"	"1,250,128"	"79,992"	"36,334,454"	"1,186,400"	"51,176,436"	"1,769,909"	"87,510,890"	"2,956,309"	0.80807	0.06604	0.05847	0.06742	0.41520	0.58480	33.65	1.63	0.99	1.22	37.49	0.9333
14010	2	"$143,984,022.18"	"3,528,349"	$40.81	0.9235	"$143,096,852.89"	$40.56	0.9187	"35,424,338"	"1,023,600"	"1,879,513"	"84,533"	"3,723,906"	"268,477"	"259,222"	"15,522"	"41,286,979"	"1,392,132"	"72,543,878"	"2,356,792"	"113,830,858"	"3,748,924"	0.73528	0.06072	0.19285	0.01115	0.36270	0.63730	30.62	1.50	3.27	0.20	35.59	0.9831
14020	2	"$160,394,262.01"	"4,119,718"	$38.93	0.8810	"$160,870,685.37"	$39.05	0.8845	"29,359,009"	"977,710"	"1,652,901"	"76,650"	"4,373,813"	"336,005"	"32,471"	"2,094"	"35,418,195"	"1,392,459"	"76,567,265"	"2,563,897"	"111,985,459"	"3,956,355"	0.70215	0.05505	0.24130	0.00150	0.31627	0.68373	29.24	1.36	4.09	0.03	34.72	1.0078
14100	3	"$488,204,786.24"	"12,427,221"	$39.29	0.8891	"$490,437,571.59"	$39.46	0.8938	"108,159,577"	"2,729,238"	"12,531,171"	"558,750"	"10,249,336"	"631,684"	"2,553,019"	"154,878"	"133,493,104"	"4,074,549"	"198,277,003"	"7,093,472"	"331,770,107"	"11,168,022"	0.66983	0.13713	0.15503	0.03801	0.40237	0.59763	27.89	3.39	2.63	0.69	34.60	1.0113
14260	5	"$999,937,381.75"	"24,484,035"	$40.84	0.9242	"$1,048,234,762.10"	$42.81	0.9696	"186,746,755"	"4,971,051"	"20,051,216"	"752,036"	"29,394,862"	"1,804,645"	"26,711,853"	"1,645,435"	"262,904,685"	"9,173,166"	"415,915,365"	"15,486,219"	"678,820,050"	"24,659,385"	0.54191	0.08198	0.19673	0.17937	0.38730	0.61270	22.57	2.02	3.34	3.25	31.18	1.1222
14454	18	"$5,255,678,334.80"	"95,718,209"	$54.91	1.2426	"$5,350,745,501.40"	$55.90	1.2661	"1,446,186,371"	"26,170,194"	"58,021,473"	"1,892,416"	"191,502,923"	"9,558,296"	"47,754,750"	"2,382,231"	"1,743,465,517"	"40,003,137"	"2,433,058,167"	"63,664,166"	"4,176,523,684"	"103,667,303"	0.65420	0.04731	0.23894	0.05955	0.41744	0.58256	27.24	1.17	4.05	1.08	33.54	1.0432
14500	4	"$379,386,794.55"	"8,395,330"	$45.19	1.0226	"$376,736,713.69"	$44.87	1.0163	"100,947,281"	"2,461,879"	"4,478,502"	"166,053"	"11,820,462"	"623,504"	"1,464,711"	"76,236"	"118,710,956"	"3,327,672"	"196,707,224"	"5,454,263"	"315,418,180"	"8,781,935"	0.73982	0.04990	0.18737	0.02291	0.37636	0.62364	30.81	1.23	3.18	0.42	35.64	0.9818
14540	2	"$166,346,558.41"	"4,617,449"	$36.03	0.8153	"$165,990,986.75"	$35.95	0.8143	"48,468,360"	"1,509,945"	"3,717,495"	"138,410"	"5,819,403"	"456,624"	0	0	"58,005,258"	"2,104,979"	"58,483,059"	"2,292,042"	"116,488,317"	"4,397,021"	0.71732	0.06575	0.21693	0.00000	0.49795	0.50205	29.87	1.62	3.68	0.00	35.17	0.9949
14740	1	"$187,607,783.46"	"3,872,136"	$48.45	1.0964	"$190,574,699.68"	$49.22	1.1148	"50,074,752"	"1,109,476"	"3,059,069"	"104,681"	"9,104,205"	"431,872"	"679,535"	"34,183"	"62,917,562"	"1,680,212"	"80,824,395"	"2,218,169"	"143,741,957"	"3,898,381"	0.66032	0.06230	0.25703	0.02034	0.43771	0.56229	27.50	1.54	4.36	0.37	33.77	1.0361
14860	6	"$1,263,114,446.20"	"23,180,999"	$54.49	1.2331	"$1,273,857,353.80"	$54.95	1.2446	"284,336,224"	"6,332,560"	"10,189,103"	"319,616"	"46,076,360"	"2,429,579"	"2,101,930"	"106,370"	"342,703,617"	"9,188,124"	"628,756,439"	"16,138,259"	"971,460,055"	"25,326,383"	0.68921	0.03479	0.26443	0.01158	0.35277	0.64723	28.70	0.86	4.49	0.21	34.26	1.0213
15180	4	"$301,775,647.85"	"7,989,101"	$37.77	0.8547	"$303,918,687.39"	$38.04	0.8616	"98,129,279"	"2,326,458"	"11,019,453"	"423,629"	"9,345,562"	"710,434"	"22,190"	"1,790"	"118,516,484"	"3,462,311"	"120,400,667"	"4,109,428"	"238,917,151"	"7,571,740"	0.67194	0.12235	0.20519	0.00052	0.49606	0.50394	27.98	3.02	3.48	0.01	34.49	1.0145
15260	1	"$101,822,056.32"	"2,844,559"	$35.80	0.8101	"$101,235,079.95"	$35.59	0.8061	"28,686,348"	"753,594"	"2,085,905"	"100,399"	"2,829,404"	"192,526"	0	0	"33,601,657"	"1,046,519"	"45,262,776"	"1,767,448"	"78,864,432"	"2,813,967"	0.72010	0.09594	0.18397	0.00000	0.42607	0.57393	29.98	2.37	3.12	0.00	35.47	0.9865
15380	9	"$1,437,565,700.30"	"31,021,139"	$46.34	1.0487	"$1,428,754,178.80"	$46.06	1.0433	"373,854,238"	"9,036,489"	"28,122,341"	"1,076,160"	"30,175,031"	"1,724,666"	"15,161,847"	"705,782"	"447,313,457"	"12,543,097"	"603,884,006"	"18,857,096"	"1,051,197,463"	"31,400,193"	0.72044	0.08580	0.13750	0.05627	0.42553	0.57447	30.00	2.12	2.33	1.02	35.47	0.9865
15500	1	"$102,116,867.91"	"2,739,779"	$37.27	0.8434	"$101,633,744.90"	$37.10	0.8403	"26,437,058"	"734,218"	"857,301"	"41,104"	"3,409,839"	"219,516"	"100,206"	"4,945"	"30,804,404"	"999,782"	"48,239,531"	"1,740,593"	"79,043,935"	"2,740,375"	0.73438	0.04111	0.21956	0.00495	0.38971	0.61029	30.58	1.02	3.73	0.09	35.42	0.9879
15540	2	"$496,419,578.60"	"11,518,009"	$43.10	0.9753	"$505,736,446.69"	$43.91	0.9946	"112,536,151"	"2,811,340"	"5,538,706"	"204,406"	"16,821,012"	"908,232"	"8,630,460"	"456,022"	"143,526,329"	"4,380,000"	"249,393,148"	"7,371,941"	"392,919,477"	"11,751,941"	0.64186	0.04667	0.20736	0.10411	0.36528	0.63472	26.73	1.15	3.52	1.89	33.29	1.0511
15680	1	"$81,479,439.02"	"1,940,971"	$41.98	0.9500	"$81,196,076.35"	$41.83	0.9475	"25,374,315"	"609,287"	"751,583"	"23,204"	"3,382,007"	"198,590"	50	4	"29,507,955"	"831,085"	"37,862,513"	"1,184,192"	"67,370,468"	"2,015,277"	0.73312	0.02792	0.23895	0.00000	0.43800	0.56200	30.53	0.69	4.05	0.00	35.27	0.9921
15764	16	"$2,717,716,937.90"	"55,787,126"	$48.72	1.1025	"$2,757,416,026.30"	$49.43	1.1196	"693,654,740"	"13,449,005"	"26,969,324"	"905,049"	"85,024,550"	"4,562,433"	"28,897,342"	"1,317,568"	"834,545,956"	"20,234,054"	"1,299,302,393"	"37,249,882"	"2,133,848,348"	"57,483,936"	0.66467	0.04473	0.22548	0.06512	0.39110	0.60890	27.68	1.10	3.83	1.18	33.79	1.0355
15804	8	"$1,506,401,211.60"	"32,072,480"	$46.97	1.0629	"$1,514,161,070.10"	$47.21	1.0693	"315,128,393"	"7,188,341"	"19,030,612"	"594,817"	"27,526,904"	"1,554,869"	"24,142,697"	"1,202,004"	"385,828,606"	"10,540,031"	"401,959,040"	"11,169,465"	"787,787,646"	"21,709,496"	0.68200	0.05643	0.14752	0.11404	0.48976	0.51024	28.40	1.39	2.50	2.07	34.36	1.0183
15940	4	"$408,576,756.49"	"11,270,834"	$36.25	0.8203	"$397,431,566.76"	$35.26	0.7986	"115,365,790"	"3,424,421"	"7,929,099"	"275,894"	"6,394,699"	"475,506"	"912,834"	"44,748"	"130,602,423"	"4,220,570"	"192,561,391"	"7,148,941"	"323,163,814"	"11,369,511"	0.81136	0.06537	0.11266	0.01060	0.40414	0.59586	33.79	1.61	1.91	0.19	37.50	0.9331
15980	4	"$726,658,223.92"	"17,676,394"	$41.11	0.9303	"$743,202,323.87"	$42.04	0.9522	"173,279,097"	"4,877,981"	"16,181,118"	"662,145"	"34,195,988"	"2,157,627"	"721,298"	"47,294"	"224,377,501"	"7,745,047"	"314,467,306"	"10,383,097"	"538,844,807"	"18,128,144"	0.62982	0.08549	0.27858	0.00611	0.41640	0.58360	26.23	2.11	4.73	0.11	33.18	1.0546
16020	2	"$196,817,530.44"	"5,556,048"	$35.42	0.8015	"$193,484,089.33"	$34.82	0.7887	"53,676,830"	"1,689,701"	"1,472,538"	"64,427"	"5,556,696"	"385,550"	"94,446"	"7,164"	"60,800,511"	"2,146,842"	"105,857,217"	"4,144,718"	"166,657,728"	"6,291,560"	0.78706	0.03001	0.17959	0.00334	0.36482	0.63518	32.77	0.74	3.05	0.06	36.62	0.9555
16060	3	"$187,801,450.49"	"5,169,571"	$36.33	0.8221	"$188,819,620.39"	$36.53	0.8274	"46,594,615"	"1,406,627"	"5,472,942"	"284,767"	"5,065,802"	"399,680"	"275,137"	"9,829"	"57,408,495"	"2,100,903"	"77,518,595"	"2,867,405"	"134,927,090"	"4,968,308"	0.66953	0.13554	0.19024	0.00468	0.42548	0.57452	27.88	3.35	3.23	0.08	34.54	1.0130
16180	1	"$112,413,101.80"	"2,526,119"	$44.50	1.0070	"$111,005,539.88"	$43.94	0.9952	"31,450,121"	"739,661"	"744,059"	"24,111"	"2,990,180"	"152,026"	"1,102,837"	"52,647"	"36,287,197"	"968,445"	"49,698,055"	"1,507,977"	"85,985,252"	"2,476,422"	0.76376	0.02490	0.15698	0.05436	0.42202	0.57798	31.80	0.61	2.66	0.99	36.06	0.9703
16220	2	"$86,630,598.11"	"2,035,315"	$42.56	0.9631	"$85,753,959.97"	$42.13	0.9542	"27,187,058"	"718,701"	"971,237"	"33,031"	"3,144,692"	"184,494"	"214,627"	"13,313"	"31,517,614"	"949,539"	"49,583,316"	"1,613,853"	"81,100,930"	"2,563,392"	0.75689	0.03479	0.19430	0.01402	0.38862	0.61138	31.52	0.86	3.30	0.25	35.93	0.9738
16300	2	"$253,673,270.68"	"6,589,777"	$38.49	0.8710	"$251,913,593.31"	$38.23	0.8659	"66,018,336"	"1,976,821"	"3,629,038"	"168,371"	"7,630,596"	"495,501"	"866,065"	"51,935"	"78,144,034"	"2,692,629"	"108,205,769"	"3,840,578"	"186,349,803"	"6,533,207"	0.73416	0.06253	0.18402	0.01929	0.41934	0.58066	30.57	1.54	3.12	0.35	35.58	0.9834
16540	2	"$207,787,047.28"	"4,278,592"	$48.56	1.0989	"$208,476,252.95"	$48.73	1.1037	"45,278,962"	"1,007,724"	"2,290,039"	"76,523"	"7,670,873"	"351,533"	0	0	"55,239,874"	"1,435,781"	"90,123,703"	"2,679,561"	"145,363,577"	"4,115,342"	0.70186	0.05330	0.24484	0.00000	0.38001	0.61999	29.23	1.32	4.15	0.00	34.70	1.0084
16580	2	"$355,392,042.81"	"9,240,578"	$38.46	0.8703	"$362,091,017.30"	$39.18	0.8874	"87,129,444"	"2,515,661"	"4,784,468"	"192,462"	"10,306,218"	"688,163"	"6,492,236"	"394,499"	"108,712,366"	"3,790,786"	"88,629,963"	"3,127,691"	"197,342,329"	"6,918,477"	0.66363	0.05077	0.18154	0.10407	0.55088	0.44912	27.63	1.25	3.08	1.89	33.85	1.0337
16620	4	"$526,466,238.38"	"14,782,025"	$35.62	0.8061	"$537,974,411.02"	$36.39	0.8242	"106,528,348"	"3,217,485"	"10,510,593"	"512,813"	"15,344,677"	"1,156,059"	"4,028,147"	"299,423"	"136,411,764"	"5,185,780"	"234,239,080"	"9,237,403"	"370,650,844"	"14,423,183"	0.62044	0.09889	0.22293	0.05774	0.36803	0.63197	25.84	2.44	3.78	1.05	33.11	1.0568
16700	6	"$985,763,047.60"	"24,994,896"	$39.44	0.8925	"$967,264,207.50"	$38.70	0.8766	"317,622,412"	"8,738,150"	"9,238,747"	"377,917"	"19,181,268"	"1,236,202"	"14,237,108"	"930,508"	"360,279,535"	"11,282,776"	"416,704,609"	"13,983,505"	"776,984,144"	"25,266,280"	0.77447	0.03350	0.10957	0.08247	0.46369	0.53631	32.25	0.83	1.86	1.50	36.44	0.9602
16740	18	"$2,608,775,729.60"	"63,125,239"	$41.33	0.9353	"$2,627,860,276.60"	$41.63	0.9429	"655,339,862"	"18,617,241"	"39,283,897"	"1,672,914"	"95,020,498"	"6,334,655"	"9,318,045"	"518,671"	"798,962,302"	"27,143,481"	"1,181,891,160"	"34,450,108"	"1,980,853,461"	"61,593,589"	0.68588	0.06163	0.23338	0.01911	0.40334	0.59666	28.56	1.52	3.96	0.35	34.39	1.0174
16820	2	"$707,057,016.20"	"16,839,180"	$41.99	0.9502	"$698,689,818.12"	$41.49	0.9398	"159,228,993"	"4,014,474"	"6,707,199"	"275,511"	"12,334,928"	"787,367"	"4,175,515"	"241,668"	"182,446,635"	"5,319,019"	"269,953,191"	"8,684,350"	"452,399,826"	"14,003,370"	0.75474	0.05180	0.14803	0.04543	0.40329	0.59671	31.43	1.28	2.51	0.82	36.04	0.9709
16860	4	"$723,550,673.76"	"19,207,878"	$37.67	0.8525	"$721,095,175.28"	$37.54	0.8503	"173,239,864"	"5,640,890"	"18,887,690"	"804,878"	"18,001,274"	"1,277,731"	"2,869,195"	"202,814"	"212,998,024"	"7,926,312"	"411,245,710"	"10,820,405"	"624,243,733"	"18,746,717"	0.71167	0.10155	0.16120	0.02559	0.34121	0.65879	29.63	2.51	2.74	0.46	35.34	0.9901
