CBSAGEO	# of provs in CBSAGEO	CBSAGEO unadjusted wages	CBSAGEO hours	CBSAGEO unadjusted AHW	CBSAGEO unadjusted wage index 	CBSAGEO occmix wages	CBSAGEO occmix AHW	CBSAGEO occmix wage index	cbsarnsal	cbsarnhr	cbsalpnstsal	cbsalpnsthr	cbsanaoratsal	cbsanaorathr	cbsamasal	cbsamahr	cbsanursesal	cbsanursehr	cbsaallothersal	cbsaallotherhr	cbsatotalsal	cbsatotalhr	cbsarnpct	cbsalpnstpct	cbsanaoratspct	cbsamapct	cbsanursevar	cbsaallothervar	cbsaadjrnahw	cbsaadjlpnstahw	cbsaadjnaoratahw	cbsaadjmaahw	cbsaadjnurseahw	cbsanurseoccmixfactor
13	1	"$30,315,527.74"	"856,635"	$35.39	0.8009	"$29,923,364.71"	$34.93	0.7912	"5,229,063"	"171,235"	"662,778"	"34,299"	"332,071"	"21,098"	"37,158"	"2,129"	"6,261,070"	"228,761"	"15,156,157"	"625,641"	"21,417,227"	"854,402"	0.74853	0.14993	0.09223	0.00931	0.29234	0.70766	31.17	3.70	1.57	0.17	36.61	0.9557
14	22	"$945,485,286.98"	"25,963,631"	$36.42	0.8242	"$949,319,532.83"	$36.56	0.8281	"206,164,204"	"6,684,045"	"13,026,899"	"677,179"	"24,367,330"	"1,804,453"	"7,203,926"	"474,293"	"250,762,359"	"9,639,971"	"440,641,176"	"17,270,378"	"691,403,535"	"26,910,349"	0.69337	0.07025	0.18718	0.04920	0.36269	0.63731	28.87	1.73	3.18	0.89	34.67	1.0092
15	17	"$599,810,771.87"	"16,315,244"	$36.76	0.8319	"$599,387,449.96"	$36.74	0.8322	"131,691,789"	"4,057,810"	"10,928,654"	"499,091"	"16,422,115"	"1,093,060"	"1,522,511"	"113,592"	"160,565,069"	"5,763,554"	"313,323,899"	"11,636,898"	"473,888,968"	"17,400,452"	0.70405	0.08659	0.18965	0.01971	0.33882	0.66118	29.32	2.14	3.22	0.36	35.04	0.9986
16	14	"$500,361,359.17"	"13,474,128"	$37.13	0.8402	"$497,164,279.09"	$36.90	0.8358	"118,672,282"	"3,655,575"	"6,195,070"	"297,144"	"10,923,352"	"731,358"	"4,237,183"	"278,412"	"140,027,887"	"4,962,488"	"229,445,509"	"8,284,869"	"369,473,396"	"13,247,357"	0.73664	0.05988	0.14738	0.05610	0.37899	0.62101	30.67	1.48	2.50	1.02	35.67	0.9809
17	22	"$444,878,890.55"	"13,130,006"	$33.88	0.7667	"$443,379,668.94"	$33.77	0.7649	"104,953,204"	"3,423,880"	"7,832,513"	"408,826"	"11,595,388"	"857,786"	"1,429,134"	"103,317"	"125,810,239"	"4,793,809"	"197,796,143"	"7,297,737"	"323,606,382"	"12,091,546"	0.71423	0.08528	0.17894	0.02155	0.38878	0.61122	29.74	2.11	3.04	0.39	35.28	0.9918
18	41	"$1,473,553,032.50"	"41,781,012"	$35.27	0.7981	"$1,487,235,880.70"	$35.60	0.8063	"339,092,762"	"10,028,212"	"34,849,582"	"1,726,523"	"38,999,667"	"2,903,337"	"6,831,934"	"492,763"	"419,773,945"	"15,150,834"	"682,488,984"	"26,641,689"	"1,102,262,929"	"41,792,523"	0.66189	0.11396	0.19163	0.03252	0.38083	0.61917	27.56	2.81	3.25	0.59	34.21	1.0228
19	24	"$334,136,831.58"	"10,868,708"	$30.74	0.6956	"$339,522,678.53"	$31.24	0.7076	"73,972,067"	"2,221,836"	"17,036,663"	"869,097"	"6,860,391"	"595,691"	"274,315"	"25,529"	"98,143,436"	"3,712,152"	"147,361,938"	"6,014,174"	"245,505,374"	"9,726,326"	0.59853	0.23412	0.16047	0.00688	0.39976	0.60024	24.92	5.78	2.72	0.12	33.54	1.0432
20	8	"$476,150,368.81"	"12,810,875"	$37.17	0.8411	"$489,065,089.65"	$38.18	0.8648	"90,677,015"	"2,657,993"	"4,268,166"	"199,797"	"12,793,399"	"828,199"	"9,977,671"	"649,572"	"117,716,249"	"4,335,561"	"221,488,281"	"8,122,062"	"339,204,531"	"12,457,623"	0.61307	0.04608	0.19102	0.14982	0.34704	0.65296	25.53	1.14	3.24	2.72	32.63	1.0723
21	3	"$154,611,905.86"	"3,955,402"	$39.09	0.8846	"$153,256,079.30"	$38.75	0.8777	"41,465,495"	"1,088,836"	"1,242,756"	"47,055"	"4,808,803"	"294,927"	"329,314"	"13,652"	"47,846,368"	"1,444,469"	"72,287,634"	"2,670,133"	"120,134,002"	"4,114,602"	0.75380	0.03258	0.20418	0.00945	0.39827	0.60173	31.39	0.80	3.46	0.17	35.82	0.9768
22	2	"$80,850,023.22"	"1,654,536"	$48.87	1.1059	"$80,347,905.25"	$48.56	1.0999	"19,562,949"	"411,162"	"502,825"	"15,816"	"2,451,116"	"118,928"	"151,777"	"7,581"	"22,668,667"	"553,486"	"37,783,965"	"1,052,656"	"60,452,632"	"1,606,142"	0.74286	0.02858	0.21487	0.01370	0.37498	0.62502	30.93	0.71	3.65	0.25	35.54	0.9845
23	25	"$1,155,139,371.80"	"31,233,928"	$36.98	0.8368	"$1,166,359,503.70"	$37.34	0.8458	"232,389,066"	"7,013,420"	"18,167,370"	"803,253"	"30,933,026"	"2,203,655"	"8,942,791"	"438,966"	"290,432,253"	"10,459,294"	"534,851,023"	"19,825,486"	"825,283,276"	"30,284,780"	0.67054	0.07680	0.21069	0.04197	0.35192	0.64808	27.92	1.90	3.58	0.76	34.16	1.0243
24	15	"$741,061,608.34"	"18,539,570"	$39.97	0.9045	"$745,441,964.25"	$40.21	0.9108	"155,505,974"	"3,906,933"	"28,913,669"	"1,371,354"	"9,907,777"	"609,319"	"4,656,828"	"265,456"	"198,984,248"	"6,153,063"	"360,784,268"	"12,182,864"	"559,768,516"	"18,335,927"	0.63496	0.22287	0.09903	0.04314	0.35548	0.64452	26.44	5.50	1.68	0.78	34.40	1.0172
25	39	"$1,150,162,225.80"	"34,712,731"	$33.13	0.7497	"$1,137,673,230.60"	$32.77	0.7422	"300,842,461"	"9,888,168"	"25,442,934"	"1,353,314"	"23,327,485"	"2,052,793"	"1,556,021"	"101,449"	"351,168,900"	"13,395,724"	"545,329,763"	"22,674,535"	"896,498,663"	"36,070,259"	0.73816	0.10103	0.15324	0.00757	0.39171	0.60829	30.74	2.49	2.60	0.14	35.97	0.9728
26	24	"$714,327,836.08"	"20,580,480"	$34.71	0.7855	"$712,723,481.76"	$34.63	0.7844	"151,968,255"	"4,758,999"	"18,032,228"	"925,128"	"14,269,443"	"1,049,106"	"1,663,334"	"96,468"	"185,933,259"	"6,829,700"	"331,951,774"	"12,959,996"	"517,885,033"	"19,789,696"	0.69681	0.13546	0.15361	0.01412	0.35902	0.64098	29.02	3.34	2.61	0.26	35.23	0.9932
27	7	"$407,560,692.58"	"10,611,153"	$38.41	0.8692	"$402,332,935.59"	$37.92	0.8589	"101,802,747"	"2,813,361"	"7,779,371"	"336,986"	"5,320,603"	"339,358"	"4,398,723"	"256,564"	"119,301,444"	"3,746,269"	"180,052,705"	"6,443,695"	"299,354,149"	"10,189,964"	0.75098	0.08995	0.09059	0.06849	0.39853	0.60147	31.27	2.22	1.54	1.24	36.27	0.9647
28	8	"$437,208,210.60"	"11,073,766"	$39.48	0.8934	"$432,748,028.24"	$39.08	0.8852	"97,719,342"	"2,737,407"	"6,987,623"	"304,859"	"8,906,248"	"584,129"	"825,229"	"50,943"	"114,438,443"	"3,677,337"	"188,577,968"	"6,784,823"	"303,016,411"	"10,462,161"	0.74440	0.08290	0.15885	0.01385	0.37766	0.62234	31.00	2.05	2.70	0.25	36.00	0.9719
29	2	"$26,406,490.17"	"664,802"	$39.72	0.8988	"$26,073,011.74"	$39.22	0.8883	"4,636,358"	"115,217"	"257,455"	"11,823"	"356,797"	"22,708"	0	0	"5,250,610"	"149,748"	"12,602,676"	"364,003"	"17,853,286"	"513,751"	0.76941	0.07895	0.15164	0.00000	0.29410	0.70590	32.04	1.95	2.57	0.00	36.56	0.9571
30	4	"$791,688,362.55"	"17,816,217"	$44.44	1.0057	"$813,032,141.35"	$45.63	1.0335	"191,384,406"	"4,655,652"	"9,386,814"	"361,126"	"27,989,835"	"1,474,681"	"17,108,151"	"946,450"	"245,869,205"	"7,437,908"	"332,466,874"	"9,668,754"	"578,336,079"	"17,106,662"	0.62594	0.04855	0.19827	0.12725	0.42513	0.57487	26.06	1.20	3.36	2.31	32.93	1.0626
32	13	"$338,037,113.56"	"8,720,269"	$38.76	0.8771	"$338,727,641.26"	$38.84	0.8797	"89,129,478"	"2,155,937"	"7,037,838"	"261,381"	"8,177,320"	"553,449"	"1,841,429"	"143,321"	"106,186,065"	"3,114,088"	"193,240,030"	"6,295,775"	"299,426,095"	"9,409,864"	0.69232	0.08394	0.17772	0.04602	0.35463	0.64537	28.83	2.07	3.02	0.83	34.75	1.0069
33	27	"$1,288,538,569.20"	"34,516,631"	$37.33	0.8448	"$1,317,184,249.50"	$38.16	0.8643	"259,282,390"	"7,026,308"	"34,465,897"	"1,636,716"	"30,366,201"	"1,933,959"	"18,656,752"	"1,206,821"	"342,771,239"	"11,803,804"	"656,513,524"	"21,718,642"	"999,284,763"	"33,522,446"	0.59526	0.13866	0.16384	0.10224	0.34302	0.65698	24.79	3.42	2.78	1.85	32.84	1.0655
34	28	"$1,127,754,277.20"	"32,869,018"	$34.31	0.7764	"$1,133,190,190.00"	$34.48	0.7810	"299,963,087"	"8,923,708"	"16,667,726"	"802,694"	"38,612,061"	"2,884,202"	"4,116,317"	"295,368"	"359,359,191"	"12,905,972"	"543,366,449"	"20,134,015"	"902,725,640"	"33,039,989"	0.69144	0.06220	0.22348	0.02289	0.39808	0.60192	28.79	1.54	3.79	0.41	34.53	1.0133
35	1	"$115,994,486.59"	"3,086,863"	$37.58	0.8504	"$120,382,100.84"	$39.00	0.8834	"27,738,614"	"831,939"	"3,672,099"	"146,076"	"4,345,596"	"232,314"	"3,189,818"	"205,683"	"38,946,127"	"1,416,012"	"42,670,697"	"1,550,482"	"81,616,824"	"2,966,494"	0.58752	0.10316	0.16406	0.14526	0.47718	0.52282	24.46	2.55	2.78	2.63	32.42	1.0793
36	34	"$1,798,366,377.90"	"50,226,552"	$35.81	0.8104	"$1,801,818,062.50"	$35.87	0.8125	"389,387,070"	"12,770,016"	"36,234,382"	"2,007,313"	"40,067,567"	"3,024,274"	"10,980,244"	"734,402"	"476,669,262"	"18,536,005"	"786,742,689"	"31,398,378"	"1,263,411,951"	"49,934,383"	0.68893	0.10829	0.16316	0.03962	0.37729	0.62271	28.69	2.67	2.77	0.72	34.85	1.0040
37	29	"$618,898,999.07"	"18,182,506"	$34.04	0.7703	"$623,067,784.29"	$34.27	0.7762	"138,558,047"	"4,105,282"	"21,241,555"	"1,033,739"	"15,199,471"	"1,079,519"	"1,004,903"	"66,971"	"176,003,977"	"6,285,510"	"292,518,980"	"10,955,987"	"468,522,957"	"17,241,497"	0.65313	0.16446	0.17175	0.01065	0.37566	0.62434	27.20	4.06	2.91	0.19	34.36	1.0183
38	5	"$351,912,099.43"	"7,541,241"	$46.67	1.0561	"$354,237,737.51"	$46.97	1.0639	"85,105,810"	"1,799,585"	"5,391,555"	"207,481"	"8,812,727"	"501,314"	"2,495,689"	"140,112"	"101,805,781"	"2,648,493"	"160,301,733"	"5,149,281"	"262,107,514"	"7,797,774"	0.67948	0.07834	0.18928	0.05290	0.38841	0.61159	28.29	1.93	3.21	0.96	34.39	1.0174
39	28	"$1,037,189,536.70"	"29,394,747"	$35.28	0.7984	"$1,033,019,631.80"	$35.14	0.7959	"223,079,989"	"6,797,612"	"22,253,151"	"1,149,226"	"20,265,462"	"1,387,847"	"3,651,779"	"238,830"	"269,250,380"	"9,573,513"	"489,425,421"	"19,389,479"	"758,675,801"	"28,962,992"	0.71004	0.12004	0.14497	0.02495	0.35490	0.64510	29.57	2.96	2.46	0.45	35.44	0.9873
42	13	"$526,761,701.77"	"14,354,877"	$36.70	0.8305	"$522,872,374.33"	$36.42	0.8249	"119,460,170"	"3,505,737"	"8,126,114"	"377,933"	"11,000,954"	"836,918"	"777,243"	"55,951"	"139,364,481"	"4,776,539"	"250,878,092"	"9,109,604"	"390,242,573"	"13,886,143"	0.73395	0.07912	0.17521	0.01171	0.35712	0.64288	30.56	1.95	2.97	0.21	35.69	0.9804
43	9	"$279,429,745.67"	"8,017,628"	$34.85	0.7886	"$275,738,252.13"	$34.39	0.7789	"56,189,045"	"1,979,126"	"6,987,589"	"361,075"	"3,235,988"	"226,088"	"1,648,813"	"104,588"	"68,061,435"	"2,670,877"	"136,913,176"	"5,196,698"	"204,974,610"	"7,867,574"	0.74100	0.13519	0.08465	0.03916	0.33205	0.66795	30.86	3.34	1.44	0.71	36.35	0.9626
44	34	"$618,723,014.79"	"19,787,303"	$31.27	0.7076	"$619,015,318.25"	$31.28	0.7085	"146,764,582"	"4,805,472"	"23,924,967"	"1,233,280"	"12,098,204"	"951,321"	"2,633,580"	"137,539"	"185,421,333"	"7,127,612"	"302,536,961"	"12,285,071"	"487,958,294"	"19,412,684"	0.67421	0.17303	0.13347	0.01930	0.37999	0.62001	28.07	4.27	2.26	0.35	34.95	1.0011
45	66	"$1,182,097,413.00"	"32,900,836"	$35.93	0.8131	"$1,178,883,891.20"	$35.83	0.8116	"296,507,251"	"8,313,533"	"44,882,148"	"2,023,807"	"20,286,942"	"1,527,863"	"4,251,499"	"333,798"	"365,927,840"	"12,199,000"	"532,767,101"	"19,402,573"	"898,694,941"	"31,601,573"	0.68149	0.16590	0.12524	0.02736	0.40718	0.59282	28.38	4.10	2.13	0.50	35.11	0.9966
46	6	"$139,993,606.30"	"3,561,250"	$39.31	0.8896	"$138,591,831.74"	$38.92	0.8815	"25,010,504"	"742,802"	"1,808,418"	"82,224"	"2,420,043"	"163,933"	"25,857"	"1,866"	"29,264,822"	"990,825"	"55,367,603"	"1,808,769"	"84,632,425"	"2,799,594"	0.74968	0.08299	0.16545	0.00188	0.34579	0.65421	31.22	2.05	2.81	0.03	36.11	0.9690
47	4	"$289,354,843.40"	"6,813,708"	$42.47	0.9611	"$288,648,039.87"	$42.36	0.9595	"66,595,524"	"1,703,416"	"5,376,095"	"231,134"	"6,262,565"	"342,929"	"2,149,930"	"125,348"	"80,384,114"	"2,402,826"	"137,297,522"	"4,536,268"	"217,681,636"	"6,939,094"	0.70892	0.09619	0.14272	0.05217	0.36927	0.63073	29.52	2.37	2.42	0.95	35.26	0.9923
49	19	"$437,238,296.75"	"12,901,569"	$33.89	0.7669	"$434,427,375.09"	$33.67	0.7626	"105,717,608"	"3,396,052"	"10,026,403"	"485,078"	"10,887,341"	"811,293"	"127,695"	"10,585"	"126,759,047"	"4,703,008"	"208,263,478"	"8,080,374"	"335,022,524"	"12,783,382"	0.72210	0.10314	0.17251	0.00225	0.37836	0.62164	30.07	2.55	2.93	0.04	35.59	0.9831
50	4	"$235,246,521.19"	"5,230,390"	$44.98	1.0179	"$233,701,232.87"	$44.68	1.0120	"64,807,481"	"1,405,606"	"1,606,786"	"58,549"	"5,326,004"	"273,055"	"3,320,705"	"162,446"	"75,060,976"	"1,899,656"	"105,761,260"	"3,358,983"	"180,822,236"	"5,258,639"	0.73993	0.03082	0.14374	0.08551	0.41511	0.58489	30.81	0.76	2.44	1.55	35.56	0.9840
51	12	"$404,365,417.75"	"12,535,225"	$32.26	0.7300	"$405,286,497.24"	$32.33	0.7323	"94,818,688"	"3,021,864"	"11,282,489"	"602,247"	"8,753,018"	"701,576"	"1,634,870"	"130,825"	"116,489,065"	"4,456,512"	"188,906,397"	"8,087,896"	"305,395,462"	"12,544,408"	0.67808	0.13514	0.15743	0.02936	0.38144	0.61856	28.24	3.34	2.67	0.53	34.78	1.0060
52	16	"$638,651,617.40"	"16,361,243"	$39.03	0.8832	"$646,278,046.34"	$39.50	0.8947	"142,558,474"	"3,972,572"	"10,638,803"	"482,588"	"18,522,830"	"1,124,133"	"8,821,948"	"519,348"	"180,542,054"	"6,098,642"	"350,680,488"	"11,845,075"	"531,222,542"	"17,943,716"	0.65139	0.07913	0.18433	0.08516	0.33986	0.66014	27.12	1.95	3.13	1.54	33.74	1.0370
