FY 2020 IPPS Final Rule: Implementation of Section 3133 of the Affordable Care Act- Medicare DSH- Supplemental Data																
Medicare CCN	Projected to Receive DSH in FY 2020	IHS or PR	Rural Community Hospital Demonstration	New Hospital	Medicaid Days 2013 (Annualized)	Length of 2013 Reporting Period	2017 SSI Days	2015 UCC (Annualized)	Length of 2015 Reporting Period	Factor 3	Total Uncompensated Care Payment	Estimated Per Claim Amount	BILLSV32	BILLSV33	BILLSV34	Claims Average
[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]
010097	YES	NO	NO	NO	705	365	295	"$1,041,567.00"	365	0.000034611	"$289,026.11"	$911.75	340	328	282	317
010099	YES	NO	NO	NO	"2,172"	365	129	"$1,909,162.00"	365	0.000063442	"$529,776.45"	$890.38	644	577	564	595
010100	YES	NO	NO	NO	"3,990"	365	718	"$6,419,764.60"	366	0.000213330	"$1,781,430.87"	$550.67	"3,323"	"3,074"	"3,308"	"3,235"
010101	YES	NO	NO	NO	"2,878"	365	439	"$3,991,006.89"	275	0.000132622	"$1,107,470.96"	"$1,633.44"	805	641	587	678
010102	YES	NO	NO	NO	118	365	45	"$617,440.00"	365	0.000020518	"$171,334.42"	"$2,039.70"	79	81	91	84
010103	YES	NO	NO	NO	"11,566"	365	"4,099"	"$13,469,540.58"	275	0.000447595	"$3,737,684.61"	$914.98	"4,176"	"4,042"	"4,038"	"4,085"
010104	YES	NO	NO	NO	"13,323"	365	"2,633"	"$16,106,768.87"	366	0.000535230	"$4,469,493.35"	$901.65	"4,429"	"4,890"	"5,553"	"4,957"
010108	YES	NO	NO	NO	"1,126"	365	620	"$4,325,911.19"	366	0.000143751	"$1,200,404.10"	"$1,018.15"	"1,247"	"1,217"	"1,072"	"1,179"
010109	SCH	NO	NO	NO	331	365	132	"$1,161,793.00"	365	0.000038607	N/A	"$1,343.28"	246	221	253	240
010110	YES	NO	NO	NO	"2,091"	365	153	"$1,164,586.00"	365	0.000038699	"$323,162.85"	"$1,429.92"	271	235	171	226
010112	YES	NO	NO	NO	"3,449"	365	501	"$3,174,563.00"	365	0.000105491	"$880,914.62"	"$1,511.00"	755	521	472	583
010113	YES	NO	NO	NO	"21,358"	365	"9,611"	"$19,685,876.09"	366	0.000654165	"$5,462,665.61"	$699.27	"8,318"	"7,713"	"7,406"	"7,812"
010114	YES	NO	NO	NO	"6,753"	365	"1,223"	"$10,155,741.00"	365	0.000337477	"$2,818,133.00"	"$1,722.58"	"1,739"	"1,526"	"1,642"	"1,636"
010118	YES	NO	NO	NO	"8,528"	365	"1,562"	"$3,669,435.75"	366	0.000121936	"$1,018,237.66"	$579.53	"1,873"	"1,687"	"1,712"	"1,757"
010120	YES	NO	NO	NO	630	365	156	"$1,777,671.00"	365	0.000059072	"$493,288.80"	"$1,106.03"	474	436	427	446
010125	YES	NO	NO	NO	590	365	568	"$1,013,388.00"	365	0.000033675	"$281,206.68"	$366.63	814	829	659	767
010126	YES	NO	NO	NO	681	365	435	"$2,234,215.00"	365	0.000074243	"$619,975.94"	"$1,097.30"	607	544	543	565
010128	YES	NO	NO	NO	288	365	268	"$1,077,352.00"	365	0.000035801	"$298,956.15"	$917.04	302	353	323	326
010129	YES	NO	NO	NO	"1,617"	365	153	"$2,630,375.49"	366	0.000087408	"$729,907.15"	"$1,586.75"	445	536	398	460
010130	NO	NO	NO	NO	737	365	339	"$2,278,946.31"	366	0.000075730	N/A	N/A	N/A	N/A	N/A	N/A
010131	YES	NO	NO	NO	"2,664"	365	"1,299"	"$8,238,813.91"	366	0.000273777	"$2,286,201.80"	$562.83	"4,253"	"4,039"	"3,893"	"4,062"
010138	YES	NO	NO	NO	338	365	491	"$298,933.00"	365	0.000009934	"$82,951.40"	$643.03	172	122	92	129
010139	YES	NO	NO	NO	"13,780"	365	"1,728"	"$11,560,043.75"	275	0.000384142	"$3,207,815.24"	$733.89	"5,163"	"4,222"	"3,727"	"4,371"
010144	YES	NO	NO	NO	"5,007"	365	"2,957"	"$9,723,303.00"	365	0.000323107	"$2,698,135.08"	$895.80	"3,223"	"2,816"	"2,997"	"3,012"
010146	YES	NO	NO	NO	"1,391"	365	270	"$788,975.54"	371	0.000026218	"$218,934.10"	$757.56	328	310	229	289
010148	YES	NO	NO	NO	825	365	569	"$1,172,174.00"	365	0.000038952	"$325,268.46"	$407.60	821	814	759	798
010149	YES	NO	NO	NO	"17,657"	365	"1,100"	"$6,284,628.84"	366	0.000208839	"$1,743,931.82"	$892.49	"2,188"	"1,834"	"1,840"	"1,954"
010150	YES	NO	NO	NO	657	365	217	"$857,680.00"	365	0.000028501	"$237,999.01"	$550.92	488	425	384	432
010157	YES	NO	NO	NO	632	365	392	"$1,725,953.36"	366	0.000057354	"$478,937.59"	$771.24	755	707	402	621
010158	YES	NO	NO	NO	"1,016"	365	427	"$1,547,617.00"	365	0.000051428	"$429,450.75"	$482.53	885	910	875	890
010164	YES	NO	NO	NO	"3,800"	365	654	"$3,649,787.58"	366	0.000121283	"$1,012,785.46"	$977.59	"1,158"	"1,002"	948	"1,036"
010168	NO	NO	NO	NO	217	365	159	"$623,477.00"	365	0.000020718	N/A	N/A	N/A	N/A	N/A	N/A
010169	YES	NO	NO	NO	522	365	215	"$1,100,269.00"	365	0.000036562	"$305,315.42"	$648.23	574	409	429	471
010172	NO	NO	NO	NO			N/A	$0.00	218	0.000000000	N/A	N/A	N/A	N/A	N/A	N/A
010173	NO	NO	NO	YES			N/A			N/A	N/A	N/A	N/A	N/A	N/A	N/A
020001	YES	NO	NO	NO	"34,213"	365	"3,050"	"$40,910,617.00"	365	0.001359466	"$11,352,353.30"	"$2,481.93"	"4,513"	"4,311"	"4,899"	"4,574"
020006	SCH	NO	NO	NO	"2,017"	365	531	"$6,820,044.00"	365	0.000226631	N/A	"$1,200.83"	"1,538"	"1,615"	"1,575"	"1,576"
020008	SCH	NO	YES	NO	"1,255"	365	117	"$4,477,211.67"	366	0.000148778	N/A	"$2,214.60"	531	574	579	561
020012	SCH	NO	NO	NO	"5,198"	365	531	"$13,195,834.00"	365	0.000438499	N/A	"$3,200.82"	"1,031"	"1,141"	"1,259"	"1,144"
020017	YES	NO	NO	NO	"4,154"	365	"1,453"	"$11,072,690.00"	365	0.000367947	"$3,072,578.66"	"$1,366.81"	"2,074"	"2,187"	"2,483"	"2,248"
020018	YES	YES	NO	NO	"5,181"	365	202	N/A	N/A	0.000143483	"$1,198,170.31"	"$4,735.85"	235	271	252	253
020024	SCH	NO	YES	NO	"1,651"	365	309	"$6,293,680.04"	366	0.000209140	N/A	"$1,842.24"	889	896	"1,060"	948
020026	YES	YES	NO	NO	"15,131"	365	"1,884"	N/A	N/A	0.000453533	"$3,787,268.77"	"$2,343.61"	"1,417"	"1,609"	"1,823"	"1,616"
020027	NO	NO	NO	NO	683	365		"$5,324,365.00"	365	0.000176929	N/A	N/A	N/A	N/A	N/A	N/A
