FY 2020 IPPS Final Rule Correction Notice: Implementation of Section 3133 of the Affordable Care Act- Medicare DSH- Supplemental Data																
Medicare CCN	Projected to Receive DSH in FY 2020	IHS or PR	Rural Community Hospital Demonstration	New Hospital	Medicaid Days 2013 (Annualized)	Length of 2013 Reporting Period	2017 SSI Days	2015 UCC (Annualized)	Length of 2015 Reporting Period	Factor 3	Total Uncompensated Care Payment	Estimated Per Claim Amount	BILLSV33	BILLSV34	BILLSV35	Claims Average
[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]
010038	YES	NO	NO	NO	"1,548"	365	848	"$2,761,746.57"	366	0.000091848	"$766,989.23"	$612.61	"1,380"	"1,337"	"1,039"	"1,252"
010039	YES	NO	NO	NO	"43,490"	365	"6,967"	"$54,716,924.62"	366	0.001819741	"$15,195,924.36"	$978.68	"15,875"	"15,266"	"15,440"	"15,527"
010040	YES	NO	NO	NO	"13,418"	365	"3,592"	"$11,932,734.00"	365	0.000396851	"$3,313,945.81"	$728.02	"4,954"	"4,454"	"4,248"	"4,552"
010044	YES	NO	NO	NO	189	365	88	"$1,629,332.00"	365	0.000054187	"$452,496.30"	"$1,315.40"	313	370	349	344
010045	YES	NO	NO	NO	500	365	107	"$1,622,190.00"	365	0.000053950	"$450,512.83"	"$1,052.60"	510	378	397	428
010046	YES	NO	NO	NO	"4,350"	365	"2,071"	"$4,576,578.74"	306	0.000152205	"$1,271,002.43"	$428.67	"3,094"	"3,033"	"2,769"	"2,965"
010047	YES	NO	NO	NO	275	396	128	"$869,882.00"	365	0.000028930	"$241,582.68"	$757.31	327	316	315	319
010049	YES	NO	NO	NO	"3,078"	365	227	"$2,521,605.00"	365	0.000083862	"$700,297.38"	$718.99	970	978	973	974
010051	YES	NO	NO	NO	287	365	76	"$1,341,765.00"	365	0.000044624	"$372,633.51"	"$4,436.11"	103	76	74	84
010052	YES	NO	NO	NO	235	365	137	"$1,318,755.00"	365	0.000043858	"$366,243.19"	"$1,192.97"	323	316	283	307
010055	YES	NO	NO	NO	"6,626"	365	"2,125"	"$6,769,062.00"	365	0.000225121	"$1,879,896.48"	$392.63	"4,870"	"4,875"	"4,620"	"4,788"
010056	YES	NO	NO	NO	"10,537"	365	"2,491"	"$14,383,576.94"	366	0.000478360	"$3,994,591.23"	$727.08	"6,099"	"5,249"	"5,135"	"5,494"
010058	YES	NO	NO	NO	55	365	64	"$1,446,647.00"	365	0.000048112	"$401,761.22"	"$2,770.77"	160	133	143	145
010059	YES	NO	NO	NO	375	365	154	"$559,211.00"	365	0.000018598	"$155,303.47"	$486.84	351	314	293	319
010061	YES	NO	NO	NO	"3,083"	365	573	"$4,311,701.00"	365	0.000143396	"$1,197,440.88"	$962.57	"1,480"	"1,212"	"1,039"	"1,244"
010062	YES	NO	NO	NO	624	365	312	"$1,020,726.00"	365	0.000033947	"$283,474.91"	$507.11	614	531	533	559
010065	YES	NO	NO	NO	"2,567"	365	403	"$3,004,039.00"	365	0.000099906	"$834,278.42"	$633.95	"1,547"	"1,349"	"1,052"	"1,316"
010069	SCH	NO	NO	NO	506	365	400	"$1,129,689.00"	365	0.000037570	N/A	$648.21	551	466	435	484
010073	YES	NO	NO	NO	"1,488"	365	432	"$1,025,735.00"	365	0.000034113	"$284,866.00"	$528.51	602	507	509	539
010078	YES	NO	NO	NO	"9,852"	365	"2,659"	"$13,741,507.04"	366	0.000457006	"$3,816,276.28"	$852.04	"4,968"	"4,327"	"4,143"	"4,479"
010079	YES	NO	NO	NO	"2,955"	365	606	"$4,829,618.51"	184	0.000160620	"$1,341,276.36"	$810.93	"1,807"	"1,623"	"1,532"	"1,654"
010083	YES	NO	NO	NO	"4,213"	365	758	"$6,078,957.00"	365	0.000202170	"$1,688,241.28"	$794.09	"2,144"	"2,158"	"2,077"	"2,126"
010085	YES	NO	NO	NO	"9,603"	365	"1,921"	"$10,089,390.83"	366	0.000335547	"$2,802,014.57"	$698.41	"4,152"	"4,060"	"3,823"	"4,012"
010086	YES	NO	NO	NO	451	365	198	"$1,000,314.00"	365	0.000033268	"$277,806.11"	$483.14	664	557	503	575
010087	YES	NO	NO	NO	"10,659"	365	"2,113"	"$19,460,065.00"	365	0.000647190	"$5,404,427.93"	"$3,976.77"	"1,230"	"1,341"	"1,507"	"1,359"
010089	YES	NO	NO	NO	"5,475"	365	"1,169"	"$8,051,990.25"	275	0.000267788	"$2,236,189.91"	"$1,200.96"	"2,032"	"1,807"	"1,746"	"1,862"
010090	YES	NO	NO	NO	"11,144"	365	"2,034"	"$12,164,634.23"	366	0.000404564	"$3,378,348.89"	$787.13	"4,762"	"4,275"	"3,838"	"4,292"
010091	YES	NO	NO	NO	"1,904"	365	154	"$1,141,823.72"	366	0.000037974	"$317,106.03"	"$1,434.87"	257	237	168	221
010092	YES	NO	NO	NO	"34,511"	365	"7,907"	"$28,617,273.00"	365	0.000951735	"$7,947,557.71"	$714.77	"12,397"	"10,747"	"10,212"	"11,119"
010095	YES	NO	NO	NO	209	365	91	"$948,307.00"	365	0.000031538	"$263,362.78"	"$1,371.68"	194	168	213	192
010097	YES	NO	NO	NO	705	365	295	"$1,041,567.00"	365	0.000034640	"$289,262.85"	$912.50	340	328	282	317
010099	YES	NO	NO	NO	"2,172"	365	129	"$1,909,162.00"	365	0.000063494	"$530,210.38"	$891.11	644	577	564	595
010100	YES	NO	NO	NO	"3,990"	365	718	"$6,419,764.60"	366	0.000213504	"$1,782,889.99"	$551.13	"3,323"	"3,074"	"3,308"	"3,235"
010101	YES	NO	NO	NO	"2,878"	365	439	"$3,991,006.89"	275	0.000132730	"$1,108,378.06"	"$1,634.78"	805	641	587	678
010102	YES	NO	NO	NO	118	365	45	"$617,440.00"	365	0.000020534	"$171,474.76"	"$2,041.37"	79	81	91	84
010103	YES	NO	NO	NO	"11,566"	365	"4,099"	"$13,469,540.58"	275	0.000447961	"$3,740,746.05"	$915.73	"4,176"	"4,042"	"4,038"	"4,085"
010104	YES	NO	NO	NO	"13,323"	365	"2,633"	"$16,106,768.87"	366	0.000535669	"$4,473,154.20"	$902.39	"4,429"	"4,890"	"5,553"	"4,957"
010108	YES	NO	NO	NO	"1,126"	365	620	"$4,325,911.19"	366	0.000143868	"$1,201,387.32"	"$1,018.99"	"1,247"	"1,217"	"1,072"	"1,179"
010109	SCH	NO	NO	NO	331	365	132	"$1,161,793.00"	365	0.000038638	N/A	"$1,344.38"	246	221	253	240
010110	YES	NO	NO	NO	"2,091"	365	153	"$1,164,586.00"	365	0.000038731	"$323,427.55"	"$1,431.10"	271	235	171	226
010112	YES	NO	NO	NO	"3,449"	365	501	"$3,174,563.00"	365	0.000105578	"$881,636.16"	"$1,512.24"	755	521	472	583
010113	YES	NO	NO	NO	"21,358"	365	"9,611"	"$19,685,876.09"	366	0.000654700	"$5,467,139.94"	$699.84	"8,318"	"7,713"	"7,406"	"7,812"
010114	YES	NO	NO	NO	"6,753"	365	"1,223"	"$10,155,741.00"	365	0.000337753	"$2,820,441.26"	"$1,723.99"	"1,739"	"1,526"	"1,642"	"1,636"
010118	YES	NO	NO	NO	"8,528"	365	"1,562"	"$3,669,435.75"	366	0.000122036	"$1,019,071.68"	$580.01	"1,873"	"1,687"	"1,712"	"1,757"
010120	YES	NO	NO	NO	630	365	156	"$1,777,671.00"	365	0.000059121	"$493,692.84"	"$1,106.93"	474	436	427	446
010125	YES	NO	NO	NO	590	365	568	"$1,013,388.00"	365	0.000033703	"$281,437.01"	$366.93	814	829	659	767
010126	YES	NO	NO	NO	681	365	435	"$2,234,215.00"	365	0.000074304	"$620,483.74"	"$1,098.20"	607	544	543	565
010128	YES	NO	NO	NO	288	365	268	"$1,077,352.00"	365	0.000035830	"$299,201.02"	$917.79	302	353	323	326
010129	YES	NO	NO	NO	"1,617"	365	153	"$2,630,375.49"	366	0.000087479	"$730,505.00"	"$1,588.05"	445	536	398	460
010130	NO	NO	NO	NO	737	365	339	"$2,278,946.31"	366	0.000075792	N/A	N/A	N/A	N/A	N/A	N/A
010131	YES	NO	NO	NO	"2,664"	365	"1,299"	"$8,238,813.91"	366	0.000274001	"$2,288,074.37"	$563.29	"4,253"	"4,039"	"3,893"	"4,062"
010138	YES	NO	NO	NO	338	365	491	"$298,933.00"	365	0.000009942	"$83,019.35"	$643.56	172	122	92	129
010139	YES	NO	NO	NO	"13,780"	365	"1,728"	"$11,560,043.75"	275	0.000384457	"$3,210,442.69"	$734.49	"5,163"	"4,222"	"3,727"	"4,371"
010144	YES	NO	NO	NO	"5,007"	365	"2,957"	"$9,723,303.00"	365	0.000323371	"$2,700,345.06"	$896.53	"3,223"	"2,816"	"2,997"	"3,012"
010148	YES	NO	NO	NO	825	365	569	"$1,172,174.00"	365	0.000038983	"$325,534.88"	$407.94	821	814	759	798
010149	YES	NO	NO	NO	"17,657"	365	"1,100"	"$6,284,628.84"	366	0.000209010	"$1,745,360.24"	$893.22	"2,188"	"1,834"	"1,840"	"1,954"
010150	YES	NO	NO	NO	657	365	217	"$857,680.00"	365	0.000028524	"$238,193.95"	$551.37	488	425	384	432
010157	YES	NO	NO	NO	632	365	392	"$1,725,953.36"	366	0.000057401	"$479,329.88"	$771.87	755	707	402	621
010158	YES	NO	NO	NO	"1,016"	365	427	"$1,547,617.00"	365	0.000051470	"$429,802.50"	$482.92	885	910	875	890
010164	YES	NO	NO	NO	"3,800"	365	654	"$3,649,787.58"	366	0.000121382	"$1,013,615.01"	$978.39	"1,158"	"1,002"	948	"1,036"
010168	NO	NO	NO	NO	217	365	159	"$623,477.00"	365	0.000020735	N/A	N/A	N/A	N/A	N/A	N/A
010169	YES	NO	NO	NO	522	365	215	"$1,100,269.00"	365	0.000036592	"$305,565.50"	$648.76	574	409	429	471
010173	N/A	NO	NO	YES			N/A			N/A	N/A	N/A	N/A	N/A	N/A	N/A
