PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-20,30-SEP-21,As Submitted,323675453,984934918,776288956
010005,01-OCT-20,30-SEP-21,As Submitted,132251460,134707196,369924366
010007,01-OCT-20,30-SEP-21,As Submitted,22653245,23728489,39147848
010016,01-JAN-21,31-DEC-21,As Submitted,152633139,890384919,624954520
010018,01-OCT-20,30-SEP-21,As Submitted,47995891,3814030,210278222
010019,01-OCT-20,30-SEP-21,As Submitted,105368487,201460782,327855154
010021,01-OCT-20,30-SEP-21,As Submitted,33582308,30642513,96585541
010029,01-OCT-20,30-SEP-21,As Submitted,329311000,407682802,463410205
010033,01-OCT-20,30-SEP-21,As Submitted,1800398312,5828808636,3733775425
010034,01-OCT-20,30-SEP-21,As Submitted,16771844,6590830,19803297
010038,01-OCT-20,30-SEP-21,As Submitted,36010936,164081079,285448897
010040,01-OCT-20,30-SEP-21,As Submitted,156165778,1461087356,1230658305
010044,01-OCT-20,30-SEP-21,As Submitted,23189886,18523636,49668549
010045,01-OCT-20,30-SEP-21,As Submitted,28894155,26492836,53907589
010049,01-JAN-21,31-DEC-21,As Submitted,52625693,286219710,520175963
010051,01-OCT-20,30-SEP-21,As Submitted,10740110,7411111,4562496
010055,01-OCT-20,30-SEP-21,As Submitted,188148909,1137223230,1320996850
010058,01-OCT-20,30-SEP-21,As Submitted,19618297,12130750,16236617
010059,01-OCT-20,30-SEP-21,Amended,12999840,5045309,21326006
010061,01-OCT-20,30-SEP-21,As Submitted,57250566,50077270,81699281
010062,01-OCT-20,30-SEP-21,As Submitted,24080059,20511150,16681237
010065,01-JAN-21,31-DEC-21,As Submitted,66032467,35134459,198302964
010069,01-JAN-21,31-DEC-21,As Submitted,21038745,27372588,46484164
010073,01-OCT-20,30-SEP-21,As Submitted,21267952,18099670,20975110
010078,01-OCT-20,30-SEP-21,As Submitted,166859299,599111899,630442219
010083,01-OCT-20,30-SEP-21,As Submitted,111198939,644238872,987386082
010086,01-JAN-21,31-DEC-21,As Submitted,18768871,36492322,78339244
010087,01-OCT-20,30-SEP-21,As Submitted,242013346,420106356,284779229
010089,01-JAN-21,31-DEC-21,As Submitted,81675086,484931005,547378282
010092,01-OCT-20,30-SEP-21,As Submitted,550608561,935048802,1018901077
010095,01-OCT-20,30-SEP-21,As Submitted,10941610,3715234,15438430
010099,01-OCT-20,30-SEP-21,As Submitted,30098799,25908536,101709996
010101,01-JAN-21,31-DEC-21,As Submitted,26669870,100741781,175948399
010102,01-OCT-20,30-SEP-21,As Submitted,4809522,374569,6094875
010103,01-JAN-21,31-DEC-21,As Submitted,192384138,1243265188,747071946
010112,01-OCT-20,30-SEP-21,As Submitted,33332290,33206059,51421801
010114,01-OCT-20,30-SEP-21,As Submitted,108558400,243725337,319088249
010120,01-OCT-20,30-SEP-21,As Submitted,28668805,15588264,73944425
010125,01-JAN-21,31-DEC-21,As Submitted,21239423,25880308,40244446
010128,01-JAN-21,31-DEC-21,As Submitted,12561750,6337622,22235247
010138,01-JAN-21,31-DEC-21,As Submitted,3886261,3911903,3277174
010139,01-JAN-21,31-DEC-21,As Submitted,300970969,1947769992,1404200479
010144,01-JAN-21,31-DEC-21,As Submitted,205041269,342178508,336690594
010148,01-JAN-21,31-DEC-21,As Submitted,14547240,16159845,24392487
010150,01-OCT-20,30-SEP-21,As Submitted,22567400,55642590,102443639
010158,01-JAN-21,31-DEC-21,As Submitted,28112713,41668515,73634778
010168,01-JAN-21,31-DEC-21,As Submitted,59549699,124215249,95371614
010169,01-OCT-20,30-SEP-21,As Submitted,22378142,21297178,51188232
010174,01-JAN-21,31-DEC-21,As Submitted,16862725,4275964,34415122
010175,01-OCT-20,30-SEP-21,As Submitted,21152026,18999610,28695412
011300,01-OCT-20,30-SEP-21,As Submitted,14810547,10558328,11630293
011302,01-OCT-20,30-SEP-21,As Submitted,,6419564,17029963
013025,01-JAN-21,31-DEC-21,As Submitted,43512719,70860949,
013028,01-JAN-21,31-DEC-21,As Submitted,26804837,52082804,
013030,01-JAN-21,31-DEC-21,As Submitted,18335061,39495850,1149
013032,01-JAN-21,31-DEC-21,As Submitted,16713950,32027337,
013301,01-OCT-20,30-SEP-21,As Submitted,,225906022,222760023
014012,01-OCT-20,30-SEP-21,As Submitted,29944560,24941761,76245
014017,01-OCT-20,30-SEP-21,Settled,9599796,1758694,
014018,01-JAN-21,31-DEC-21,As Submitted,3423935,3617539,
020012,01-JAN-21,31-DEC-21,As Submitted,250145260,252540894,379089248
020018,01-OCT-20,30-SEP-21,As Submitted,123514555,89838,1505086
020026,01-OCT-20,30-SEP-21,As Submitted,469714113,801040,6297210
021305,01-OCT-20,30-SEP-21,As Submitted,17934307,8825796,11218610
021306,01-JAN-21,31-DEC-21,As Submitted,47740632,35335352,56010332
021308,01-OCT-20,30-SEP-21,Amended,80223690,46932612,83181216
021309,01-OCT-20,30-SEP-21,As Submitted,,8528,121836
021310,01-OCT-20,30-SEP-21,As Submitted,,13440,118539
021312,01-OCT-20,30-SEP-21,As Submitted,,8331887,79919026
021314,01-OCT-20,30-SEP-21,As Submitted,,71896,1890315
024001,01-JAN-21,31-DEC-21,As Submitted,24607863,80382720,
030006,01-JAN-21,31-DEC-21,As Submitted,759456752,1622502923,977610602
030010,01-OCT-20,30-SEP-21,As Submitted,173248819,1016829184,521357660
030011,01-OCT-20,30-SEP-21,As Submitted,234681540,1531488312,788351128
030013,01-OCT-20,30-SEP-21,As Submitted,495342709,956286881,1432760196
030014,01-JAN-21,31-DEC-21,As Submitted,508624631,1328162616,1684845853
030036,01-JAN-21,31-DEC-21,As Submitted,590622030,2509246676,1404113560
030068,01-JAN-21,27-SEP-21,As Submitted,44685949,23978554,90307116
030083,01-OCT-20,30-SEP-21,As Submitted,102028693,502594270,586188985
030085,01-OCT-20,30-SEP-21,Amended,293060732,1312293866,1385240847
030103,01-JAN-21,31-DEC-21,As Submitted,863785057,1412806035,1259685588
030107,01-JAN-21,31-DEC-21,As Submitted,35192115,123872934,78521622
030112,01-JAN-21,31-DEC-21,As Submitted,29176610,68958352,94148762
030113,01-OCT-20,30-SEP-21,As Submitted,65728969,71196,794400
030114,01-OCT-20,30-SEP-21,As Submitted,106945192,376237014,655720333
030117,01-DEC-20,30-NOV-21,As Submitted,40225253,160563121,343385330
030130,01-JAN-21,31-DEC-21,As Submitted,115031956,274290432,267134860
030131,01-JAN-21,31-DEC-21,As Submitted,61447244,149224211,98127529
030134,01-JAN-21,31-DEC-21,As Submitted,23534025,38146138,97217226
030137,01-JAN-21,31-DEC-21,As Submitted,37905770,27605274,67165511
030146,29-OCT-20,31-DEC-20,Settled,22797446,16554380,37334618
030147,17-NOV-20,31-DEC-20,As Submitted,9416473,16615008,15563931
030148,08-JAN-21,30-SEP-21,Amended,11630941,9731808,88857494
031301,01-JAN-21,31-DEC-21,As Submitted,,3595366,43939489
031305,01-OCT-20,30-SEP-21,As Submitted,,6006,130480
031307,01-OCT-20,30-SEP-21,As Submitted,,3315,261168
031308,01-OCT-20,30-SEP-21,As Submitted,,24240,1443876
031309,01-OCT-20,30-SEP-21,As Submitted,,9191143,15469181
031311,01-OCT-20,30-SEP-21,As Submitted,,34129219,87019865
031313,01-OCT-20,30-SEP-21,As Submitted,,40334593,159078915
031315,01-JAN-21,31-DEC-21,As Submitted,,13854880,32760088
031317,01-OCT-20,30-SEP-21,As Submitted,,17557893,60736904
031319,28-SEP-21,31-DEC-21,As Submitted,,11115755,38281852
032001,01-DEC-20,30-NOV-21,As Submitted,27279950,188506895,
033025,01-JAN-21,31-DEC-21,As Submitted,17166462,30999874,1922
033028,01-JAN-21,31-DEC-21,As Submitted,22873276,48335640,1020
033029,01-JAN-21,31-DEC-21,As Submitted,15181443,29881375,510
033034,01-JAN-21,31-DEC-21,As Submitted,13974739,26901568,
033038,01-JAN-21,31-DEC-21,As Submitted,23451437,84230100,
033039,01-JAN-21,31-DEC-21,As Submitted,8715105,22636727,
033040,01-JAN-21,31-DEC-21,As Submitted,20729540,59852395,537
034004,01-JAN-21,31-DEC-21,As Submitted,43731559,147253062,4227951
034022,01-JAN-21,31-DEC-21,As Submitted,27377809,94877296,7997647
034023,01-OCT-20,30-SEP-21,Settled,20059457,7240880,15216682
034024,01-JAN-21,31-DEC-21,As Submitted,27989588,46805575,4448800
034026,01-JAN-21,31-DEC-21,As Submitted,25951128,87399456,7382989
034028,01-JAN-21,31-DEC-21,As Submitted,35044067,62118325,3829120
034029,01-JAN-21,31-DEC-21,As Submitted,25915668,99054302,
040002,01-JAN-21,31-DEC-21,As Submitted,31641967,21533250,50469786
040004,01-JAN-21,31-DEC-21,As Submitted,320887096,894397294,720079461
040014,01-OCT-20,30-SEP-21,As Submitted,206126258,311965656,488446849
040015,01-JAN-21,31-DEC-21,As Submitted,27534848,16166887,53280054
040019,01-OCT-20,30-SEP-21,As Submitted,27821136,59465207,86180096
040020,01-OCT-20,30-SEP-21,As Submitted,385691905,540635832,664967913
040022,01-NOV-20,31-OCT-21,Amended,242141206,1296545869,1066305235
040027,01-JAN-21,31-DEC-21,As Submitted,209909923,272853379,431669405
040029,01-JAN-21,31-DEC-21,As Submitted,174591109,386266015,506759775
040036,01-JAN-21,31-DEC-21,As Submitted,210715930,581768038,426382499
040047,01-OCT-20,30-SEP-21,As Submitted,20320547,15345473,23802734
040050,01-OCT-20,30-SEP-21,As Submitted,30153166,26003946,86045251
