BENE_SEX_IDENT_CD,BENE_AGE_CAT_CD,HOSPC_DECEASED_CD,HOSPC_DX_CD,HOSPC_CANCER_CD,HOSPC_DAYS_CD,HOSPC_PMT_AMT,BENE_CNT
1,1,0,1,0,4,15000,1
1,1,0,1,0,4,20000,1
1,1,0,1,0,4,25000,1
1,1,0,1,0,5,25000,1
1,1,0,1,0,5,50000,5
1,1,0,2,0,1,500,1
1,1,0,2,0,2,1000,2
1,1,0,2,0,2,4000,2
1,1,0,2,0,3,5000,2
1,1,0,2,0,3,6000,1
1,1,0,2,0,3,7000,1
1,1,0,2,0,3,8000,2
1,1,0,2,0,3,10000,3
1,1,0,2,0,4,15000,2
1,1,0,2,0,4,20000,4
1,1,0,2,0,5,25000,3
1,1,0,2,0,5,50000,5
1,1,0,3,1,1,250,1
1,1,0,3,1,1,750,2
1,1,0,3,1,1,1000,2
1,1,0,3,1,2,1000,2
1,1,0,3,1,2,2000,5
1,1,0,3,1,2,3000,1
1,1,0,3,1,3,4000,3
1,1,0,3,1,3,5000,2
1,1,0,3,1,3,6000,1
1,1,0,3,1,3,7000,2
1,1,0,3,1,3,9000,2
1,1,0,3,1,3,10000,2
1,1,0,3,1,4,15000,1
1,1,0,3,1,4,20000,4
1,1,0,3,1,4,25000,3
1,1,0,3,1,5,25000,7
1,1,0,3,1,5,50000,1
1,1,0,4,0,2,3000,2
1,1,0,4,0,2,4000,2
1,1,0,4,0,3,5000,1
1,1,0,4,0,3,6000,1
1,1,0,4,0,3,8000,2
1,1,0,4,0,3,9000,1
1,1,0,4,0,3,10000,2
1,1,0,4,0,4,15000,3
1,1,0,4,0,4,20000,1
1,1,0,4,0,4,25000,1
1,1,0,4,0,5,25000,5
1,1,0,4,0,5,50000,2
1,1,0,5,0,1,250,2
1,1,0,5,0,1,500,2
1,1,0,5,0,2,2000,5
1,1,0,5,0,2,3000,3
1,1,0,5,0,2,4000,1
1,1,0,5,0,3,5000,1
1,1,0,5,0,3,7000,3
1,1,0,5,0,3,8000,1
1,1,0,5,0,3,9000,1
1,1,0,5,0,3,10000,3
1,1,0,5,0,3,15000,3
1,1,0,5,0,4,15000,6
1,1,0,5,0,4,20000,3
1,1,0,5,0,4,25000,1
1,1,0,5,0,5,25000,9
1,1,0,5,0,5,50000,10
1,1,0,6,0,1,250,3
1,1,0,6,0,1,500,4
1,1,0,6,0,1,750,3
1,1,0,6,0,1,1000,3
1,1,0,6,0,1,2000,3
1,1,0,6,0,1,3000,1
1,1,0,6,0,2,1000,5
1,1,0,6,0,2,2000,9
1,1,0,6,0,2,3000,7
1,1,0,6,0,2,4000,8
1,1,0,6,0,2,7000,3
1,1,0,6,0,2,8000,1
1,1,0,6,0,2,15000,2
1,1,0,6,0,3,4000,2
1,1,0,6,0,3,5000,11
1,1,0,6,0,3,6000,10
1,1,0,6,0,3,7000,7
1,1,0,6,0,3,8000,3
1,1,0,6,0,3,9000,2
1,1,0,6,0,3,10000,12
1,1,0,6,0,3,15000,6
1,1,0,6,0,4,10000,1
1,1,0,6,0,4,15000,22
1,1,0,6,0,4,20000,18
1,1,0,6,0,4,25000,5
1,1,0,6,0,5,25000,29
1,1,0,6,0,5,50000,41
1,1,0,6,1,1,250,4
1,1,0,6,1,1,750,3
1,1,0,6,1,1,1000,3
1,1,0,6,1,2,1000,4
1,1,0,6,1,2,2000,14
1,1,0,6,1,2,3000,9
1,1,0,6,1,2,4000,6
1,1,0,6,1,2,5000,1
1,1,0,6,1,3,4000,1
1,1,0,6,1,3,5000,3
1,1,0,6,1,3,6000,2
1,1,0,6,1,3,7000,3
1,1,0,6,1,3,8000,3
1,1,0,6,1,3,9000,5
1,1,0,6,1,3,10000,7
1,1,0,6,1,3,15000,2
1,1,0,6,1,4,10000,2
1,1,0,6,1,4,15000,7
1,1,0,6,1,4,20000,6
1,1,0,6,1,4,25000,1
1,1,0,6,1,5,25000,6
1,1,0,6,1,5,50000,11
1,1,1,1,0,1,250,2
1,1,1,1,0,1,750,2
1,1,1,1,0,1,1000,2
1,1,1,1,0,2,1000,2
1,1,1,1,0,2,2000,3
1,1,1,1,0,2,4000,1
1,1,1,1,0,2,6000,1
1,1,1,1,0,4,20000,2
1,1,1,1,0,5,50000,1
1,1,1,2,0,1,250,1
1,1,1,2,0,1,500,1
1,1,1,2,0,1,750,3
1,1,1,2,0,1,1000,4
1,1,1,2,0,1,2000,1
1,1,1,2,0,2,1000,3
1,1,1,2,0,2,2000,1
1,1,1,2,0,2,3000,3
1,1,1,2,0,2,4000,2
1,1,1,2,0,2,5000,1
1,1,1,2,0,3,5000,1
1,1,1,2,0,3,6000,2
1,1,1,2,0,3,10000,1
1,1,1,2,0,3,15000,1
1,1,1,2,0,4,20000,2
1,1,1,2,0,5,25000,1
1,1,1,2,0,5,50000,1
1,1,1,3,1,1,250,7
1,1,1,3,1,1,500,12
1,1,1,3,1,1,750,13
1,1,1,3,1,1,1000,17
1,1,1,3,1,1,2000,5
1,1,1,3,1,1,3000,2
1,1,1,3,1,1,4000,3
1,1,1,3,1,1,5000,2
1,1,1,3,1,2,1000,6
1,1,1,3,1,2,2000,16
1,1,1,3,1,2,3000,11
1,1,1,3,1,2,4000,4
1,1,1,3,1,2,5000,2
1,1,1,3,1,2,6000,3
1,1,1,3,1,2,7000,5
1,1,1,3,1,2,8000,1
1,1,1,3,1,2,10000,3
1,1,1,3,1,2,15000,4
1,1,1,3,1,3,4000,4
1,1,1,3,1,3,5000,1
1,1,1,3,1,3,6000,3
1,1,1,3,1,3,7000,5
1,1,1,3,1,3,8000,3
1,1,1,3,1,3,9000,3
1,1,1,3,1,3,10000,8
1,1,1,3,1,3,15000,3
1,1,1,3,1,4,20000,8
1,1,1,3,1,4,25000,1
1,1,1,3,1,5,25000,1
1,1,1,3,1,5,50000,2
1,1,1,4,0,1,250,1
1,1,1,4,0,1,500,5
1,1,1,4,0,1,750,2
1,1,1,4,0,1,1000,1
1,1,1,4,0,1,2000,1
1,1,1,4,0,1,3000,3
1,1,1,4,0,2,1000,3
1,1,1,4,0,2,2000,3
1,1,1,4,0,2,3000,1
1,1,1,4,0,2,4000,1
1,1,1,4,0,2,6000,1
1,1,1,4,0,3,5000,1
1,1,1,4,0,3,7000,1
1,1,1,4,0,3,9000,1
1,1,1,4,0,3,10000,3
1,1,1,4,0,4,20000,1
1,1,1,4,0,5,25000,3
1,1,1,4,0,5,50000,1
1,1,1,5,0,1,250,6
1,1,1,5,0,1,500,5
1,1,1,5,0,1,750,4
1,1,1,5,0,1,1000,1
1,1,1,5,0,1,2000,2
1,1,1,5,0,1,3000,1
1,1,1,5,0,1,4000,2
