PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
292004,01-SEP-18,29-SEP-19,As Submitted,25060775,190641256,63108
292006,01-SEP-18,29-SEP-19,As Submitted,34414288,171500412,622145
292007,01-SEP-18,31-AUG-19,As Submitted,6942775,15263552,
292008,01-JAN-18,31-DEC-18,As Submitted,9226457,33029006,22091
293026,01-JAN-18,31-DEC-18,Amended,24766189,69118547,
293032,01-JAN-18,31-DEC-18,As Submitted,30310606,71643124,1446606
293033,01-JAN-18,31-DEC-18,As Submitted,18805700,39303901,62937
293034,09-JAN-18,31-DEC-18,As Submitted,13038219,23625525,566123
294000,01-JUL-18,30-JUN-19,Settled,15193093,610859,1312932
294002,01-JUL-18,30-JUN-19,Settled,70689425,31940935,
294003,01-NOV-17,31-OCT-18,As Submitted,12289234,38716160,577352
294009,01-JAN-18,31-DEC-18,As Submitted,31608316,78063819,9117325
294010,01-JAN-18,31-DEC-18,Amended,5591804,17204000,878640
294011,01-JAN-18,31-DEC-18,As Submitted,16947974,63060000,172920
294012,01-JUL-18,30-JUN-19,As Submitted,18081545,48587500,3701984
294013,01-JAN-18,31-DEC-18,As Submitted,20856166,47012150,3227040
294014,27-MAR-18,31-DEC-18,As Submitted,3098442,4354641,
294015,29-MAY-18,31-DEC-18,As Submitted,6941262,12919626,600320
300001,01-OCT-17,30-SEP-18,As Submitted,429535686,561634582,665992016
300003,01-JUL-18,30-JUN-19,As Submitted,972381263,1233301964,1796248365
300005,01-OCT-17,30-SEP-18,As Submitted,138525497,173820352,225470235
300011,01-JAN-18,31-DEC-18,As Submitted,183624475,157376885,351089364
300012,01-JUL-18,30-JUN-19,As Submitted,383625117,403079902,743967682
300014,01-OCT-17,30-SEP-18,As Submitted,131928482,87778672,240584581
300017,01-AUG-18,31-JUL-19,As Submitted,100782580,234444943,402390295
300018,01-OCT-17,30-SEP-18,Amended,284478554,272437573,767283824
300019,01-JUL-18,30-JUN-19,As Submitted,168409878,131596799,410223583
300020,01-OCT-17,30-SEP-18,As Submitted,190714544,248621521,352493976
300023,01-OCT-17,30-SEP-18,As Submitted,206964549,168912295,450658681
300029,01-MAR-18,28-FEB-19,As Submitted,205433190,783911447,591346702
300034,01-OCT-17,30-SEP-18,As Submitted,362282265,656489595,590509369
301300,01-OCT-17,30-SEP-18,As Submitted,,3549623,25732493
301301,01-OCT-17,30-SEP-18,As Submitted,29363618,18468518,38911536
301302,01-OCT-17,30-SEP-18,As Submitted,,32103351,104668577
301303,01-OCT-17,30-SEP-18,As Submitted,,12799953,65843013
301304,01-JUL-18,30-JUN-19,As Submitted,,22133430,77950557
301305,01-JUL-18,30-JUN-19,As Submitted,,29573158,60578906
301306,01-OCT-17,30-SEP-18,As Submitted,27445589,17312507,42739975
301307,01-OCT-17,30-SEP-18,As Submitted,,25009848,89067920
301308,01-OCT-17,30-SEP-18,As Submitted,,8159700,52660651
301309,01-OCT-17,30-SEP-18,As Submitted,,19541555,121595014
301310,01-OCT-17,30-SEP-18,As Submitted,,16689363,62470061
301311,01-JUL-18,30-JUN-19,As Submitted,,32738249,90006354
301312,01-OCT-17,30-SEP-18,Amended,,19967348,80884766
303026,01-JUN-18,31-MAY-19,As Submitted,85664286,109601122,67805044
303027,01-JAN-18,31-DEC-18,Amended,15455353,27450102,1189503
304000,01-JUL-18,30-JUN-19,As Submitted,72349181,83634719,
304001,01-JAN-18,31-DEC-18,Settled,14205989,20150922,402175
310001,01-JAN-18,31-DEC-18,Amended,1376228552,3108619329,2317180971
310002,01-JAN-18,31-DEC-18,As Submitted,484666596,1910497403,757095737
310003,01-JAN-18,31-DEC-18,Amended,151873824,576985160,364297724
310005,01-JAN-18,31-DEC-18,As Submitted,209354444,300895172,404831325
310006,01-JAN-18,31-DEC-18,As Submitted,115451663,349479361,273012311
310008,01-JAN-18,31-DEC-18,As Submitted,355942994,688262519,983105422
310009,01-JAN-18,31-DEC-18,As Submitted,249559339,916518628,485114639
310010,01-JAN-18,30-JUN-18,As Submitted,206447735,429982474,552036089
310010,01-JUL-18,30-JUN-19,As Submitted,405152017,905034180,1182592252
310011,01-JAN-18,31-DEC-18,As Submitted,124975521,266216450,529320740
310012,01-JAN-18,31-DEC-18,As Submitted,557885690,1201999299,1129003552
310014,01-JAN-18,31-DEC-18,As Submitted,777625357,2363177385,1910574804
310015,01-JAN-18,31-DEC-18,As Submitted,988478139,3245792921,2339261570
310016,01-JAN-18,31-DEC-18,As Submitted,169218117,1358193133,903291205
310017,01-JAN-18,31-DEC-18,As Submitted,179878668,618589860,485450883
310019,01-JAN-18,31-DEC-18,Amended,615767900,2841620180,1006088983
310021,01-JUL-18,30-JUN-19,As Submitted,119379437,433551419,387822204
310022,01-JAN-18,31-DEC-18,As Submitted,636981387,2303227108,1448261189
310024,01-JAN-18,31-DEC-18,As Submitted,106671350,541199403,328269924
310025,01-JAN-18,31-DEC-18,As Submitted,122343045,950764232,653075975
310027,01-JAN-18,31-DEC-18,As Submitted,242557402,759553443,695918012
310028,01-JAN-18,31-DEC-18,As Submitted,150222592,766170150,615594045
310029,01-JUL-18,30-JUN-19,As Submitted,273275345,1248495446,645571224
310031,01-JAN-18,31-DEC-18,Amended,148342997,471025688,399824877
310032,01-JAN-18,31-DEC-18,As Submitted,312161777,1134106336,690374084
310034,01-JAN-18,31-DEC-18,Amended,259258855,853478914,609844519
310038,01-JAN-18,31-DEC-18,As Submitted,953125461,3848142509,1436492432
310039,01-JAN-18,31-DEC-18,Amended,243915761,758712056,554196730
310040,01-JAN-18,31-DEC-18,As Submitted,149319849,1009884611,743240942
310041,01-JAN-18,31-DEC-18,As Submitted,345684567,1315775384,683687078
310044,01-JAN-18,31-DEC-18,As Submitted,290090026,1797035874,1927910919
310045,01-JAN-18,31-DEC-18,As Submitted,425405483,1554043158,2036115659
310047,01-JAN-18,31-DEC-18,As Submitted,171095364,522464761,476289005
310048,01-JAN-18,31-DEC-18,As Submitted,242550436,1116178338,596454701
310050,01-JAN-18,31-DEC-18,As Submitted,250698883,682142669,465673088
310051,01-JAN-18,31-DEC-18,Amended,554792591,1408986083,1424899917
310052,01-JAN-18,31-DEC-18,Amended,297555319,1067643704,756982831
310054,01-JAN-18,31-DEC-18,As Submitted,203431459,632387827,586680851
310057,01-JAN-18,31-DEC-18,As Submitted,262775971,1183698797,609225246
310058,01-JAN-18,31-DEC-18,As Submitted,194429117,438000315,94084579
310060,01-JUL-18,30-JUN-19,As Submitted,101091844,367147580,622237707
310061,01-JUL-18,30-JUN-19,As Submitted,113628901,414199804,391585009
310064,01-JUL-18,30-JUN-19,As Submitted,557310666,2139702826,1500520736
310069,01-JAN-18,31-DEC-18,As Submitted,54189867,160058033,128729978
310070,01-JAN-18,31-DEC-18,Amended,355256214,2027532965,1126110630
310073,01-JAN-18,31-DEC-18,Amended,648564981,2418409153,1272065643
310074,01-JAN-18,31-DEC-18,As Submitted,338026881,1224404759,778141675
310075,01-JAN-18,31-DEC-18,As Submitted,320356134,961792063,624131957
310076,01-JAN-18,31-DEC-18,As Submitted,689954848,2199969793,1117489590
310081,01-JAN-18,31-DEC-18,As Submitted,189748686,577091024,508649614
310083,01-JAN-18,31-DEC-18,As Submitted,98634654,460330414,189608116
310084,01-JAN-18,31-DEC-18,As Submitted,110839675,397734575,242856415
310086,01-JAN-18,31-DEC-18,As Submitted,487253859,2212347301,1063582262
310091,01-JAN-18,30-JAN-19,As Submitted,51035075,180614333,292838216
310092,01-JAN-18,31-DEC-18,As Submitted,203111142,1956440729,1274808008
310096,01-JAN-18,31-DEC-18,As Submitted,154962599,483785984,442585243
310108,01-JAN-18,31-DEC-18,Amended,489723427,1343177584,1141297996
310110,01-JAN-18,31-DEC-18,As Submitted,172055516,666666933,685418625
310111,01-JAN-18,31-DEC-18,As Submitted,252913847,622091517,411586121
310112,01-JAN-18,31-DEC-18,Amended,147038049,505639895,347463215
310113,01-JAN-18,31-DEC-18,Amended,166052257,433872969,509797251
310115,01-JAN-18,30-JUN-18,As Submitted,37238174,125086158,120365916
310115,01-JUL-18,31-DEC-18,Amended,41796340,134703098,132030867
310118,01-JAN-18,31-DEC-18,Amended,69460679,287215506,356639018
310119,01-JUL-18,30-JUN-19,As Submitted,645377023,1822035156,985612005
310130,01-JUL-18,30-JUN-19,As Submitted,111065061,321748109,201954926
312014,01-JUL-18,30-JUN-19,Settled,37050786,40588044,341020
312017,01-SEP-18,31-AUG-19,As Submitted,20410072,135692001,25783
312018,01-JAN-18,31-DEC-18,As Submitted,28384247,196097576,
312019,01-NOV-17,31-OCT-18,As Submitted,24570224,85190854,
312020,01-SEP-18,31-AUG-19,As Submitted,54014320,238937173,1613553
312022,01-SEP-18,31-AUG-19,As Submitted,25825737,171251632,7674
312023,01-SEP-18,31-AUG-19,As Submitted,19885279,154425919,3520
312024,01-APR-18,31-MAR-19,As Submitted,50794184,1213764155,
313025,01-JAN-18,31-DEC-18,Amended,184570214,272282210,194761369
313027,01-JAN-18,31-DEC-18,As Submitted,32155528,59870145,9401163
313029,01-JAN-18,31-DEC-18,As Submitted,36371287,67915270,
313030,01-JAN-18,31-DEC-18,As Submitted,47122830,56303848,38537996
313032,01-JAN-18,31-DEC-18,As Submitted,26426366,50520415,3363387
313033,01-JUN-18,31-MAY-19,As Submitted,17552245,34232765,5118856
313035,01-JAN-18,31-DEC-18,Amended,23049113,40982130,2080416
313036,01-JUN-18,31-MAY-19,As Submitted,15718184,34206945,4723
313300,01-JAN-18,31-DEC-18,As Submitted,127228694,142091492,100559173
314001,01-MAR-18,28-FEB-19,As Submitted,22172467,62044120,4263990
314005,01-JUL-18,30-JUN-19,As Submitted,176157299,1468220,
314011,01-JUL-18,30-JUN-19,As Submitted,78546269,20041316,101550182
314012,01-JAN-18,31-DEC-18,As Submitted,45588508,86574927,1788171
314013,01-JUL-18,30-JUN-19,As Submitted,138091494,1445400,
314016,01-JUL-18,30-JUN-19,As Submitted,171307150,1730762,
314018,01-JAN-18,31-DEC-18,As Submitted,27558254,42933289,
314019,01-JAN-18,31-DEC-18,As Submitted,70312511,95445269,7801070
314020,01-JAN-18,31-DEC-18,As Submitted,46005527,58503998,54588
314021,01-JAN-18,31-DEC-18,As Submitted,23217322,57945500,6976595
314022,01-JAN-18,31-DEC-18,As Submitted,8537085,18716229,1466007
314023,01-JAN-18,31-DEC-18,As Submitted,21605364,31586797,1300
314024,01-JAN-18,31-DEC-18,As Submitted,26536948,25177682,13632
314027,01-JAN-18,31-DEC-18,As Submitted,15632117,17726174,
320001,01-JUL-18,30-JUN-19,As Submitted,925800113,983643201,1117404974
320002,01-JUL-18,30-JUN-19,Amended,312771631,473816316,730019202
320003,01-SEP-18,31-AUG-19,As Submitted,26588680,52973197,134976593
320004,01-JUL-18,30-JUN-19,As Submitted,119916661,236664213,447753729
320005,01-JUL-18,30-JUN-19,As Submitted,209520812,295530934,347492389
320006,01-JUN-18,31-MAY-19,As Submitted,74913420,245705135,411551977
320009,01-MAR-18,28-FEB-19,As Submitted,241817097,1084164681,615231975
320011,01-JAN-18,31-DEC-18,Amended,62773465,54675366,116429691
320016,01-JUL-18,30-JUN-19,Amended,72404644,38653635,137622856
320017,01-MAY-18,30-APR-19,Amended,123071680,452273093,496269175
320018,01-OCT-17,30-SEP-18,As Submitted,186863170,501732834,642561984
320021,01-JAN-18,31-DEC-18,Amended,982270303,1539327047,1725308755
320022,01-JAN-18,31-DEC-18,As Submitted,83158167,92147325,204617747
320030,01-JUL-18,30-JUN-19,As Submitted,44225389,41425841,112422535
320033,01-JAN-18,31-DEC-18,As Submitted,37038389,26039728,111291091
320038,01-JAN-18,31-DEC-18,Amended,50598000,57588773,173858491
320057,01-OCT-17,30-SEP-18,As Submitted,13048812,774,132632
320058,01-OCT-17,30-SEP-18,As Submitted,6683823,1272,49252
320059,01-OCT-17,30-SEP-18,As Submitted,98418678,139820,1573105
320060,01-OCT-17,30-SEP-18,As Submitted,19407143,25968,213521
320061,01-OCT-17,30-SEP-18,As Submitted,112307312,225568,1609956
320062,01-OCT-17,30-SEP-18,As Submitted,30586246,14100,238194
320063,01-SEP-18,31-AUG-19,As Submitted,60911730,118947748,304320385
320065,01-JAN-18,31-DEC-18,As Submitted,44955919,104696764,147833395
320067,01-JUL-18,30-JUN-19,As Submitted,5054098,1519581,18119736
320070,01-OCT-17,30-SEP-18,As Submitted,13728249,1464,159599
320074,01-FEB-18,31-JAN-19,As Submitted,55785715,168315313,237808791
320084,01-JUL-18,30-JUN-19,As Submitted,29134253,6765459,82211164
320085,01-APR-18,31-MAR-19,As Submitted,176060196,648309698,590757706
320086,01-JAN-18,31-DEC-18,As Submitted,39886589,79417852,152017073
320089,01-JUL-18,30-JUN-19,As Submitted,85323344,80286091,131319544
321300,01-JUL-18,30-JUN-19,As Submitted,,4613407,41076455
321301,01-JAN-18,31-DEC-18,Amended,,7341068,40710199
321302,01-JAN-18,31-DEC-18,Amended,,3206762,21387726
321304,01-JUL-18,30-JUN-19,As Submitted,,2926089,11772079
321305,01-JUL-18,30-JUN-19,As Submitted,,7018971,226566732
321306,01-JAN-18,31-DEC-18,Amended,,24859260,64164864
321307,01-JUL-18,30-JUN-19,As Submitted,,11825967,25961313
321308,01-JUL-18,30-JUN-19,As Submitted,,15139262,46649270
321309,01-JAN-18,31-DEC-18,Amended,,44442261,114778642
321310,01-JUN-18,31-MAY-19,As Submitted,,24793297,98382538
322002,01-SEP-18,31-AUG-19,As Submitted,25672077,99055071,796168
322003,01-JUN-18,31-MAY-19,As Submitted,9128823,26408605,
322004,01-MAR-18,28-FEB-19,As Submitted,7824341,18422071,3324
323026,01-JUL-18,30-JUN-19,As Submitted,8606290,7666350,
323027,01-JAN-18,31-DEC-18,Amended,23304425,47178943,2049403
323028,01-SEP-18,31-AUG-19,As Submitted,29660788,95754211,41075184
323029,01-JUL-18,30-JUN-19,As Submitted,3606313,5132836,
323032,01-JAN-18,31-DEC-18,As Submitted,12439036,26352897,1728838
324010,01-JAN-18,31-DEC-18,Amended,14600659,53303700,1898375
324012,01-JAN-18,31-DEC-18,As Submitted,13888900,47422742,1482530
324013,01-JAN-18,31-DEC-18,As Submitted,10704601,19966700,484115
324014,01-AUG-18,31-JUL-19,As Submitted,2746765,5733100,
330003,01-JUL-18,30-JUN-19,As Submitted,80109578,34467342,283843737
330004,01-JAN-18,31-DEC-18,As Submitted,109186263,349194958,288533079
330005,01-JAN-18,31-DEC-18,As Submitted,1163625858,2048205617,1247568915
330006,01-JAN-18,31-DEC-18,As Submitted,196478590,163163854,174470625
330008,01-JAN-18,31-DEC-18,As Submitted,54128981,40202686,40772902
330009,01-JAN-18,31-DEC-18,As Submitted,540536160,527998190,440735262
330011,01-JUL-18,30-JUN-19,As Submitted,332085576,253164486,793159900
330013,01-JAN-18,31-DEC-18,Amended,838382711,2085518999,1067357028
330014,01-JAN-18,31-DEC-18,As Submitted,429094437,559521414,407376719
330019,01-JAN-18,31-DEC-18,As Submitted,100837337,175965327,49336383
330023,01-JAN-18,31-DEC-18,As Submitted,504381854,911820036,811451950
330024,01-JAN-18,31-DEC-18,As Submitted,2163866311,5108033343,2799697278
