PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-15,30-SEP-16,As Submitted,248917319,797455884,719901053
010005,01-OCT-15,30-SEP-16,As Submitted,117400193,116809860,301037435
010006,01-JUL-16,30-JUN-17,Amended,124558586,437786848,332712211
010007,01-OCT-15,30-SEP-16,As Submitted,14348517,17301238,28459816
010008,01-JAN-16,31-DEC-16,Amended,12153533,14216690,36332932
010011,01-JUL-16,30-JUN-17,Amended,201480519,627893291,523534615
010012,01-APR-16,31-MAR-17,Settled,43681419,140131110,241344590
010016,03-OCT-15,31-DEC-15,Amended,33872217,137740875,86772512
010016,01-JAN-16,31-DEC-16,Amended,146533613,630739181,429944213
010018,01-OCT-15,30-SEP-16,As Submitted,32409047,1192349,123310607
010019,01-OCT-15,30-SEP-16,Settled,78404047,128703321,256389800
010021,01-OCT-15,30-SEP-16,As Submitted,25328791,24961009,62698663
010022,01-APR-16,31-MAR-17,Settled,12377968,18802385,61874294
010023,01-JUL-16,30-JUN-17,As Submitted,385762497,743537640,703511868
010024,01-JAN-16,31-DEC-16,Amended,164965140,563113847,373017435
010029,01-OCT-15,30-SEP-16,Amended,264084600,262583009,423415941
010032,01-OCT-15,30-SEP-16,Settled,7677531,4522419,19349235
010033,01-OCT-15,30-SEP-16,As Submitted,1221201056,3623616462,2374644104
010034,01-OCT-15,30-SEP-16,Settled,16287105,14967422,25347001
010035,01-JUL-16,30-JUN-17,Settled,96853298,208370106,273462041
010036,01-APR-16,31-MAR-17,Settled,32139048,98884804,142662852
010038,01-JUL-16,30-APR-17,Settled,37260127,140916869,278194048
010039,01-JUL-16,30-JUN-17,Amended,807961622,2469931915,2281735602
010040,01-OCT-15,30-SEP-16,As Submitted,167545259,1356926878,1004574040
010044,01-OCT-15,30-SEP-16,Settled,22117968,21655686,43802488
010045,01-OCT-15,30-SEP-16,As Submitted,25159067,27489230,51390420
010046,01-JAN-16,31-DEC-16,Settled,91955566,319830103,366086193
010047,01-JAN-16,31-DEC-16,Amended,6450221,3583038,11681995
010049,01-JAN-16,31-DEC-16,Settled,46217913,150475073,372635876
010051,01-OCT-15,30-SEP-16,As Submitted,9833616,6770578,6471889
010052,01-JAN-16,31-DEC-16,Amended,15832760,3376243,19817844
010055,01-OCT-15,30-SEP-16,As Submitted,168616725,711231268,879200155
010056,01-JUL-16,30-JUN-17,Amended,370564290,850768716,1097146437
010058,01-OCT-15,30-SEP-16,Amended,17060591,15491661,13990753
010059,01-OCT-15,30-SEP-16,Settled,14483771,7650619,31886028
010061,01-OCT-15,30-SEP-16,As Submitted,50666607,50361616,73853329
010062,01-OCT-15,30-SEP-16,Amended,20582279,23953615,29664249
010065,01-JAN-16,31-DEC-16,Amended,61719447,47772801,165185817
010069,01-OCT-15,30-SEP-16,As Submitted,14454974,21577417,40117071
010073,01-OCT-15,30-SEP-16,As Submitted,15757056,15079237,14154280
010078,01-JUL-16,30-JUN-17,As Submitted,165740844,563968498,653917044
010079,01-JAN-16,30-JUN-16,Amended,25453150,40160197,88723694
010079,01-JUL-16,30-JUN-17,Amended,56475396,79801051,190277962
010083,01-OCT-15,30-SEP-16,Settled,80958552,373397558,596186856
010085,01-APR-16,31-MAR-17,As Submitted,109460650,215201189,244841855
010086,01-JAN-16,31-DEC-16,As Submitted,20048775,37140811,89685383
010087,01-OCT-15,30-SEP-16,Amended,144106197,213768871,176644542
010089,03-OCT-15,31-DEC-15,Settled,20736651,46553796,53314622
010089,01-JAN-16,31-DEC-16,Amended,84614324,224328231,262770667
010090,01-JUL-16,30-JUN-17,As Submitted,202199094,435921342,418352484
010091,01-JUL-16,30-JUN-17,As Submitted,13388118,12043735,37929807
010092,01-OCT-15,30-SEP-16,Amended,434515654,1024165041,906559252
010095,01-OCT-15,30-SEP-16,Amended,8437219,3148545,13613037
010097,01-JAN-16,31-DEC-16,Settled,14197430,5720100,32579248
010099,01-OCT-15,30-SEP-16,As Submitted,26185053,17081741,58357571
010100,01-APR-16,31-MAR-17,As Submitted,135126526,227710242,312627960
010101,03-OCT-15,31-DEC-15,Settled,7826435,11784032,24668832
010101,01-JAN-16,31-DEC-16,Amended,33291481,59113972,117847668
010102,01-OCT-15,30-SEP-16,As Submitted,4533214,1158544,7642999
010103,03-OCT-15,31-DEC-15,Amended,48818241,219702798,117120261
010103,01-JAN-16,31-DEC-16,Amended,211086295,1047875317,581907010
