PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-18,30-SEP-19,As Submitted,292824435,956830639,946926032
010005,01-OCT-18,30-SEP-19,As Submitted,130392566,116115511,350163108
010007,01-OCT-18,30-SEP-19,As Submitted,15731356,15181682,31547528
010018,01-OCT-18,30-SEP-19,As Submitted,44055987,2641091,185353005
010019,01-OCT-18,30-SEP-19,As Submitted,94148807,162289609,321775995
010021,01-OCT-18,30-SEP-19,As Submitted,25538984,22102365,70399416
010029,01-OCT-18,30-SEP-19,As Submitted,315111549,344992075,491594316
010033,01-OCT-18,30-SEP-19,As Submitted,1524020834,4707047060,3126255849
010034,01-OCT-18,30-SEP-19,As Submitted,13737336,8549192,20498549
010038,01-OCT-18,30-SEP-19,As Submitted,33757472,168598957,286840283
010040,01-OCT-18,30-SEP-19,As Submitted,165190050,1474538589,1233279143
010044,01-OCT-18,30-SEP-19,As Submitted,21662824,19744266,44272275
010045,01-OCT-18,30-SEP-19,As Submitted,24992627,23647999,49825124
010051,01-OCT-18,30-SEP-19,As Submitted,8460004,6929869,5619104
010055,01-OCT-18,30-SEP-19,As Submitted,177452919,1012043633,1222631805
010058,01-OCT-18,30-SEP-19,As Submitted,18132905,13736749,17251974
010059,01-OCT-18,30-SEP-19,As Submitted,12232126,5515206,26092285
010061,01-OCT-18,30-SEP-19,As Submitted,47324488,43127146,76816167
010062,01-OCT-18,30-SEP-19,As Submitted,21887573,19784389,16088440
010073,01-OCT-18,30-SEP-19,As Submitted,17640598,15138373,20366816
010078,01-OCT-18,30-SEP-19,As Submitted,160550496,570806941,747255730
010083,01-OCT-18,30-SEP-19,As Submitted,88062718,507059787,751619435
010087,01-OCT-18,30-SEP-19,As Submitted,211878601,311968503,275562730
010092,01-OCT-18,30-SEP-19,As Submitted,469187808,913161767,967760483
010095,01-OCT-18,30-SEP-19,As Submitted,8822711,3062027,14058142
010099,01-OCT-18,30-SEP-19,As Submitted,24553290,17497276,59004889
010102,01-OCT-18,30-SEP-19,As Submitted,4538782,643819,7097479
010109,01-OCT-18,30-SEP-19,As Submitted,12082278,5215028,21292501
010112,01-OCT-18,30-SEP-19,As Submitted,23520163,18812357,42168972
010114,01-OCT-18,30-SEP-19,As Submitted,98254319,252362565,337855105
010120,01-OCT-18,30-SEP-19,As Submitted,20540361,9376799,70987978
010150,01-OCT-18,30-SEP-19,Amended,17205574,47447721,113233820
010169,01-OCT-18,30-SEP-19,As Submitted,19674903,29156154,46741602
011300,01-OCT-18,30-SEP-19,As Submitted,13091345,11124234,10622573
011302,01-OCT-18,30-SEP-19,As Submitted,,5950918,17970449
011306,09-JAN-19,30-JUN-19,As Submitted,,1708425,10403733
013301,01-OCT-18,30-SEP-19,As Submitted,,190776052,80085457
014012,01-OCT-18,30-SEP-19,As Submitted,26837039,25311062,104325
014017,01-OCT-18,30-SEP-19,As Submitted,9627340,2209532,
021303,01-JUL-19,31-JUL-19,As Submitted,1717530,453909,846829
021305,01-NOV-18,30-SEP-19,As Submitted,13342613,7946706,6525181
021308,01-OCT-18,30-SEP-19,As Submitted,76347224,40843668,60553032
021309,01-OCT-18,30-SEP-19,As Submitted,,10309,128304
021310,01-OCT-18,30-SEP-19,As Submitted,,14930,74871
021312,01-OCT-18,30-SEP-19,As Submitted,,6119760,33239627
021314,01-OCT-18,30-SEP-19,As Submitted,93064125,52030,877680
030010,01-OCT-18,30-SEP-19,As Submitted,192568543,865336629,612073603
030011,01-OCT-18,30-SEP-19,As Submitted,241623647,1103971947,671994556
030013,01-OCT-18,30-SEP-19,As Submitted,441896926,819161239,1166190963
030083,01-OCT-18,30-SEP-19,As Submitted,98557301,443338827,403297710
030085,01-OCT-18,30-SEP-19,As Submitted,271756101,1264247751,1306946678
030114,01-OCT-18,30-SEP-19,As Submitted,99978374,427956710,530889634
031305,01-OCT-18,30-SEP-19,As Submitted,,6264,125521
031307,01-OCT-18,30-SEP-19,As Submitted,,4043,154548
031308,01-OCT-18,30-SEP-19,As Submitted,,3150,1019172
031309,01-OCT-18,30-SEP-19,As Submitted,,6229018,31711018
031311,01-OCT-18,30-SEP-19,As Submitted,,34800865,85496445
031313,01-OCT-18,30-SEP-19,As Submitted,,42926643,149092321
032006,15-JUN-19,31-AUG-19,As Submitted,3508508,15088969,
034023,01-OCT-18,30-SEP-19,As Submitted,19639799,6779108,12552800
040014,01-OCT-18,30-SEP-19,As Submitted,186065154,256428981,471805996
040018,01-NOV-18,31-DEC-18,As Submitted,2733676,6008644,21299172
040019,01-OCT-18,30-SEP-19,As Submitted,26888943,70756311,117797533
040020,01-OCT-18,30-SEP-19,Amended,307302446,406689447,633492150
040047,01-JAN-19,30-SEP-19,As Submitted,12782108,9910504,21847249
040050,01-OCT-18,30-SEP-19,As Submitted,29393923,24854050,96032288
040055,01-NOV-18,31-DEC-18,As Submitted,36256789,109472743,136078266
040067,01-OCT-18,30-SEP-19,Amended,20944468,11020981,33997421
040118,01-OCT-18,30-SEP-19,As Submitted,190462057,470866175,654686277
040134,01-OCT-18,30-SEP-19,As Submitted,166077513,278808993,384732489
040153,01-OCT-18,30-SEP-19,As Submitted,14856952,21032309,51080197
040156,19-FEB-19,30-SEP-19,Settled,11157408,6651816,69804421
041307,01-OCT-18,30-SEP-19,As Submitted,,4584199,19274314
041309,01-JAN-19,30-JUN-19,As Submitted,,1895445,6849589
041310,01-OCT-18,30-SEP-19,As Submitted,,12538188,41202953
041311,01-OCT-18,30-SEP-19,As Submitted,,10147924,51998618
041323,01-OCT-18,30-SEP-19,As Submitted,30666148,20288545,48357941
041327,01-OCT-18,30-SEP-19,As Submitted,21680348,11711332,35657006
042011,01-OCT-18,30-SEP-19,Settled,5081317,12787308,
050002,01-OCT-18,30-SEP-19,As Submitted,117218755,430013491,157376649
050077,01-OCT-18,30-SEP-19,As Submitted,670464126,2785842911,1042270054
050100,01-OCT-18,30-SEP-19,As Submitted,906655218,3374221862,2023046496
050146,01-OCT-18,30-SEP-19,As Submitted,,1888875013,2486856616
050169,01-OCT-18,30-SEP-19,As Submitted,465811810,1966402779,1830168178
050234,01-OCT-18,30-SEP-19,As Submitted,102171512,226335383,188587604
050272,01-OCT-18,30-SEP-19,As Submitted,241878108,979650296,765228858
050324,01-OCT-18,30-SEP-19,As Submitted,633287721,2670068715,1266493649
050393,01-OCT-18,30-SEP-19,As Submitted,152078966,608823455,455972581
050424,01-OCT-18,30-SEP-19,As Submitted,271494792,968134835,636965487
050503,01-OCT-18,30-SEP-19,As Submitted,256671486,987046768,519278181
050624,01-OCT-18,30-SEP-19,As Submitted,302164034,986594943,746146591
050660,01-OCT-18,30-SEP-19,As Submitted,,194797916,686611839
050751,01-JAN-19,14-FEB-19,As Submitted,1098948,3602254,690741
050754,01-JAN-19,31-JUL-19,As Submitted,9373454,7947226,20148501
050763,01-JAN-19,28-FEB-19,As Submitted,16583489,36665309,3143998
050773,01-JUL-19,31-AUG-19,As Submitted,14066774,48662713,8698087
050784,30-JAN-19,14-MAR-19,Settled,6447578,10810025,1918559
052046,02-MAY-19,31-AUG-19,As Submitted,21739696,86166874,8681628
053040,01-OCT-18,30-SEP-19,As Submitted,19544127,30831048,3509
053041,02-NOV-18,31-DEC-18,As Submitted,3628447,2618860,
053300,01-OCT-18,30-SEP-19,As Submitted,,1198102868,658050905
054145,01-OCT-18,30-SEP-19,As Submitted,79994507,262134285,138636732
060034,01-OCT-18,30-SEP-19,As Submitted,411437223,2885935125,1818498650
062011,01-OCT-18,30-SEP-19,As Submitted,98632549,175946858,21596295
063034,01-NOV-18,31-MAY-19,As Submitted,8856109,16160102,
070002,01-OCT-18,30-SEP-19,As Submitted,739198245,1388523365,1372157813
070003,01-OCT-18,30-SEP-19,As Submitted,102254642,71684446,181076910
070004,01-OCT-18,30-SEP-19,As Submitted,47931546,47492557,73596463
070006,01-OCT-18,30-SEP-19,As Submitted,479229875,815613394,1582380878
070007,01-OCT-18,30-SEP-19,As Submitted,336554044,336815410,656836340
070008,01-OCT-18,30-SEP-19,As Submitted,62442877,46872232,140772473
070010,01-OCT-18,30-SEP-19,As Submitted,484624249,943078598,1036817197
070011,01-OCT-18,30-SEP-19,As Submitted,136472276,124349353,201029785
070016,01-OCT-18,30-SEP-19,As Submitted,266791120,383836009,576995086
070017,01-OCT-18,30-SEP-19,As Submitted,298779540,339796663,405946773
070018,01-OCT-18,30-SEP-19,As Submitted,335696769,499776458,710598300
070019,01-OCT-18,08-JUN-19,As Submitted,44424114,52484469,55534354
070020,01-OCT-18,30-SEP-19,As Submitted,335608221,501450726,709544079
070021,01-OCT-18,30-SEP-19,As Submitted,88700440,55150114,187111255
070022,01-OCT-18,30-SEP-19,As Submitted,2815726577,5052961925,5283472121
070024,01-OCT-18,30-SEP-19,As Submitted,323074134,352597772,610334200
070025,01-OCT-18,30-SEP-19,As Submitted,1193049203,2323932034,1336846661
070028,01-OCT-18,30-SEP-19,As Submitted,360761197,706360744,472787440
070029,01-OCT-18,30-SEP-19,As Submitted,165797779,169239387,289793243
070031,01-OCT-18,30-SEP-19,As Submitted,180067685,271303148,407076940
070033,01-OCT-18,30-SEP-19,As Submitted,526734631,838371085,997347070
070034,01-OCT-18,30-SEP-19,As Submitted,292394320,490931209,558871996
070035,01-OCT-18,30-SEP-19,As Submitted,362247948,487667689,596548800
070038,01-OCT-18,30-SEP-19,As Submitted,22164697,13943200,17971562
070039,01-OCT-18,30-SEP-19,As Submitted,67809012,97652123,2408138
070040,01-OCT-18,30-SEP-19,As Submitted,5343261,8543766,15925
072003,01-OCT-18,30-SEP-19,As Submitted,75700372,151946801,26785954
073025,01-OCT-18,30-SEP-19,As Submitted,23042694,58970406,29482670
073300,01-OCT-18,30-SEP-19,As Submitted,,471442751,371432561
074008,01-OCT-18,30-SEP-19,As Submitted,38931986,48020014,44131419
083026,01-OCT-18,30-SEP-19,As Submitted,15172161,27671128,
083027,21-MAR-19,30-APR-19,As Submitted,984096,2974356,14345
084005,01-NOV-18,31-DEC-18,As Submitted,2233793,2285218,
090008,01-OCT-18,30-SEP-19,As Submitted,102623526,145929432,161443630
094001,01-OCT-18,30-SEP-19,As Submitted,90127821,80761117,
100002,01-OCT-18,30-SEP-19,As Submitted,315291640,1362633794,836266061
100008,01-OCT-18,30-SEP-19,As Submitted,1085378418,2748638522,2764279202
100012,01-OCT-18,30-SEP-19,As Submitted,863223604,2498979562,2134010797
100017,01-OCT-18,30-SEP-19,As Submitted,418216456,1033381098,898364453
100019,01-OCT-18,30-SEP-19,As Submitted,517290076,1917583435,855120822
100022,01-OCT-18,30-SEP-19,As Submitted,1758394785,4044077879,1648179013
100028,01-OCT-18,30-SEP-19,As Submitted,123589145,215479373,392000135
100030,01-OCT-18,30-SEP-19,As Submitted,214702169,779032989,796351609
100032,01-OCT-18,30-SEP-19,As Submitted,243889828,1509207516,616536788
100044,01-OCT-18,31-DEC-18,As Submitted,113489093,385563561,349176942
100047,01-OCT-18,30-SEP-19,As Submitted,62445882,388968959,225528330
100048,01-OCT-18,30-SEP-19,As Submitted,11976702,11859874,37386764
100051,01-OCT-18,30-SEP-19,As Submitted,190845060,786691037,957451053
100071,01-OCT-18,30-SEP-19,As Submitted,115263580,919601892,718679979
100081,01-OCT-18,30-SEP-19,As Submitted,8748587,5819294,21682840
100087,01-OCT-18,30-SEP-19,As Submitted,730416946,2999361626,1751056881
100088,01-OCT-18,30-SEP-19,As Submitted,1064536735,3160585607,2884186394
100090,01-OCT-18,30-SEP-19,As Submitted,233827620,642971909,511225208
100093,01-OCT-18,30-SEP-19,As Submitted,296659902,769239935,1120160217
100099,01-JAN-19,31-AUG-19,As Submitted,38952845,201156955,170873119
100105,01-OCT-18,31-DEC-18,As Submitted,65301596,125543668,142461970
100117,01-OCT-18,30-SEP-19,As Submitted,110209366,327568330,343171040
100125,01-OCT-18,30-SEP-19,As Submitted,221957654,419760850,648479192
100126,01-OCT-18,30-SEP-19,As Submitted,81468397,666376988,419338496
100130,01-OCT-18,30-SEP-19,As Submitted,46357678,42843334,88110658
100134,01-OCT-18,30-SEP-19,As Submitted,25431636,13346181,55293825
100140,01-OCT-18,30-SEP-19,As Submitted,58595713,131690590,211053428
100142,01-OCT-18,30-SEP-19,As Submitted,45422767,35793785,99882015
100154,01-OCT-18,30-SEP-19,As Submitted,452997365,1074204931,984873964
100157,01-OCT-18,30-SEP-19,As Submitted,678656188,2305302634,2133148090
100175,01-OCT-18,30-SEP-19,As Submitted,34787772,28259021,104270904
100177,01-OCT-18,30-SEP-19,As Submitted,154168410,315886507,387251362
100211,01-OCT-18,30-SEP-19,As Submitted,44133546,154793839,192124828
100220,01-OCT-18,30-SEP-19,As Submitted,362390920,1348910317,692218533
100238,01-OCT-18,30-SEP-19,As Submitted,148385001,1291742049,629168358
100244,01-OCT-18,30-SEP-19,As Submitted,222470987,752709931,572056586
100246,01-OCT-18,30-SEP-19,As Submitted,251588850,2410348554,920825217
