PROV	Is Prov on this Occupational Mix Delete List because its S-3 Wage data is also deleted? (Y/N)	Is Prov on this Occupational Mix Delete List because its Occupational Mix Data is Aberrant? (Y/N)	MAC	CBSAGEO	FROM	TO	 RNSAL 	 RNHR 	rnahw	 LPNSTSAL 	 LPNSTHR 	lpnstahw	 naoratsal 	 NAORATHR 	naoratahw	MASAL	MAHR	maahw	nursesal	nursehr	nurseahw	allothersal	allotherhr	allotherahw	totalsal	totalhr	totalahw
190302	Y	N	07001	35380	01/01/2016	12/31/2016	" 1,657,227 "	" 39,284 "	42.1859	" 245,100 "	" 9,769 "	25.0907	" 21,795 "	" 1,709 "	12.7509	0 	0 	0.0000	"1,924,122"	"50,762"	37.9050	"1,533,910"	"45,996"	33.3491	"3,458,031"	"96,757"	35.7393
220062	Y	N	05901	49340	01/03/2016	12/31/2016	" 3,824,030 "	" 100,693 "	37.9771	" 1,405,447 "	" 49,064 "	28.6452	" 804,709 "	" 50,029 "	16.0849	0 	0 	0.0000	"6,034,186"	"199,786"	30.2032	"11,772,761"	"525,990"	22.3821	"17,806,947"	"725,776"	24.5350
230275	Y	N	06001	40980	01/01/2016	12/31/2016	" 336,371 "	" 9,291 "	36.2040	 -   	 -   	0.0000	 -   	 -   	0.0000	0 	0 	0.0000	"336,371"	"9,291"	36.2040	"165,199"	"7,707"	21.4349	"501,570"	"16,998"	29.5076
230279	Y	N	08001	47664	01/01/2016	12/31/2016	" 1,333,676 "	" 38,014 "	35.0837	 -   	 -   	0.0000	" 442,367 "	" 32,028 "	13.8120	0 	0 	0.0000	"1,776,042"	"70,042"	25.3569	"6,996,827"	"251,761"	27.7915	"8,772,869"	"321,803"	27.2616
260113	Y	N	05901	26	01/01/2016	12/31/2016	" 10,469,305 "	" 339,068 "	30.8767	" 1,519,976 "	" 86,971 "	17.4768	" 1,186,397 "	" 101,992 "	11.6322	"627,058 "	"30,965 "	20.2503	"13,802,736"	"558,997"	24.6920	"13,663,094"	"707,044"	19.3243	"27,465,830"	"1,266,041"	21.6943
320067	Y	N	04011	32	01/01/2016	12/31/2016	" 401,036 "	" 12,804 "	31.3211	" 231,965 "	" 10,434 "	22.2316	" 162,468 "	" 11,317 "	14.3561	0 	0 	0.0000	"795,469"	"34,555"	23.0204	"1,126,589"	"37,543"	30.0080	"1,922,058"	"72,098"	26.6590
360247	Y	N	15201	18140	01/01/2016	12/31/2016	" 578,428 "	" 21,872 "	26.4460	" 275,294 "	" 13,470 "	20.4376	 319 	 26 	12.5098	"321,951 "	"28,236 "	11.4021	"1,175,992"	"63,604"	18.4894	"2,407,355"	"142,814"	16.8566	"3,583,347"	"206,418"	17.3597
370057	Y	N	04011	46140	01/01/2016	12/31/2016	" 2,070,358 "	" 70,477 "	29.3764	" 515,603 "	" 26,090 "	19.7625	" 180,395 "	" 15,306 "	11.7859	0 	0 	0.0000	"2,766,356"	"111,873"	24.7276	"4,792,282"	"249,421"	19.2136	"7,558,638"	"361,294"	20.9210
370112	Y	N	04011	22900	01/01/2016	12/31/2016	" 774,198 "	" 27,296 "	28.3631	" 409,293 "	" 23,654 "	17.3033	" 79,788 "	" 6,904 "	11.5568	"24,960 "	"2,095 "	11.9141	"1,288,239"	"59,949"	21.4889	"3,461,530"	"174,912"	19.7901	"4,749,769"	"234,861"	20.2237
370156	Y	N	04011	37	01/01/2016	12/31/2016	" 1,486,446 "	" 47,010 "	31.6198	" 480,842 "	" 27,714 "	17.3501	" 2,715 "	 250 	10.8588	0 	0 	0.0000	"1,970,003"	"74,974"	26.2758	"3,741,328"	"165,291"	22.6348	"5,711,331"	"240,265"	23.7710
390025	Y	N	12001	37964	01/01/2016	12/31/2016	" 810,688 "	" 25,553 "	31.7257	" 84,350 "	" 4,316 "	19.5436	" 246,687 "	" 20,123 "	12.2590	"229,366 "	"18,629 "	12.3123	"1,371,091"	"68,621"	19.9806	"2,640,391"	"128,850"	20.4920	"4,011,482"	"197,471"	20.3143
420066	Y	N	11001	22500	01/01/2016	12/31/2016	" 1,362,229 "	" 47,011 "	28.9770	" 537,517 "	" 26,194 "	20.5206	" 385,319 "	" 37,816 "	10.1893	"43,590 "	"4,139 "	10.5311	"2,328,655"	"115,160"	20.2211	"4,675,131"	"238,883"	19.5708	"7,003,786"	"354,043"	19.7823
450451	Y	N	04011	23104	01/01/2016	12/31/2016	" 1,897,290 "	" 53,196 "	35.6660	" 161,079 "	" 7,395 "	21.7822	" 54,911 "	" 4,232 "	12.9752	0 	0 	0.0000	"2,113,280"	"64,823"	32.6008	"4,348,740"	"146,206"	29.7439	"6,462,020"	"211,029"	30.6215
450469	Y	N	04011	43300	01/01/2016	12/31/2016	" 10,810,133 "	" 288,453 "	37.4762	" 687,696 "	" 35,980 "	19.1133	" 475,415 "	" 24,620 "	19.3101	"81,536 "	"4,667 "	17.4708	"12,054,780"	"353,720"	34.0800	"15,684,305"	"571,437"	27.4471	"27,739,085"	"925,157"	29.9831
450803	Y	N	04011	26420	01/01/2016	12/31/2016	" 4,233,960 "	" 126,000 "	33.6029	" 288,368 "	" 15,580 "	18.5089	" 142,078 "	" 14,306 "	9.9314	"40,053 "	"2,983 "	13.4271	"4,704,459"	"158,869"	29.6122	"5,236,758"	"269,586"	19.4252	"9,941,217"	"428,455"	23.2025
450831	Y	N	04011	26420	01/01/2016	12/31/2016	" 1,331,927 "	" 37,051 "	35.9487	" 98,446 "	" 4,306 "	22.8605	" 135,622 "	" 9,412 "	14.4090	0 	0 	0.0000	"1,565,995"	"50,769"	30.8452	"2,826,476"	"102,995"	27.4428	"4,392,471"	"153,765"	28.5662
450877	Y	N	04011	21340	01/01/2016	12/31/2016	" 3,411,614 "	" 93,769 "	36.3832	" 724,068 "	" 35,381 "	20.4649	" 226,116 "	" 17,277 "	13.0877	"116,787 "	"7,343 "	15.9045	"4,478,585"	"153,770"	29.1252	"4,056,290"	"209,404"	19.3706	"8,534,875"	"363,174"	23.5008
670083	Y	N	04011	19124	01/01/2016	12/31/2016	" 4,304,835 "	" 105,329 "	40.8703	" 498,053 "	" 25,226 "	19.7438	 -   	 -   	0.0000	0 	0 	0.0000	"4,802,888"	"130,555"	36.7882	"8,250,935"	"325,940"	25.3143	"13,053,823"	"456,495"	28.5958
670093	Y	N	04011	26420	01/01/2016	12/31/2016	" 126,738 "	" 3,962 "	31.9884	" 45,037 "	" 2,019 "	22.3066	" 11,741 "	" 1,083 "	10.8412	0 	0 	0.0000	"183,516"	"7,064"	25.9790	"2,145,208"	"81,191"	26.4217	"2,328,724"	"88,255"	26.3863
670095	Y	N	04011	26420	01/01/2016	12/31/2016	" 903,179 "	" 20,524 "	44.0060	 -   	 -   	0.0000	 -   	 -   	0.0000	0 	0 	0.0000	"903,179"	"20,524"	44.0060	"928,012"	"34,413"	26.9669	"1,831,191"	"54,937"	33.3326
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
