PROV	MAC	CBSAGEO	FROM	TO	 RNSAL 	 RNHR 	rnahw	 LPNSTSAL 	 LPNSTHR 	lpnstahw	 naoratsal 	 NAORATHR 	naoratahw	MASAL	MAHR	maahw	nursesal	nursehr	nurseahw	allothersal	allotherhr	allotherahw	totalsal	totalhr	totalahw
050084	01011	44700	12/20/2015	12/24/2016	" 102,452,643 "	" 1,559,355 "	65.7019	" 2,662,736 "	" 66,318 "	40.1510	" 713,216 "	" 20,966 "	34.0177	"285,025 "	"10,312 "	27.6401	"106,113,620"	"1,656,951"	64.0415	"105,609,950"	"2,446,089"	43.1750	"211,723,570"	"4,103,040"	51.6016
050089	01011	40140	12/20/2015	12/24/2016	" 31,947,895 "	" 782,354 "	40.8356	" 900,989 "	" 24,942 "	36.1234	" 4,202,853 "	" 109,146 "	38.5067	0 	0 	0.0000	"37,051,737"	"916,442"	40.4300	"41,454,397"	"979,894"	42.3050	"78,506,134"	"1,896,336"	41.3989
050090	01011	42220	01/02/2016	12/17/2016	" 8,622,139 "	" 130,672 "	65.9831	" 324,947 "	" 7,536 "	43.1193	" 340,089 "	" 15,253 "	22.2965	"388,283 "	"17,666 "	21.9791	"9,675,458"	"171,127"	56.5396	"13,831,844"	"341,319"	40.5247	"23,507,302"	"512,446"	45.8727
050091	01011	31084	01/01/2016	12/31/2016	" 9,122,238 "	" 217,387 "	41.9631	" 1,292,262 "	" 51,206 "	25.2365	" 376,824 "	" 26,561 "	14.1871	0 	0 	0.0000	"10,791,324"	"295,154"	36.5617	"13,471,480"	"400,594"	33.6288	"24,262,804"	"695,748"	34.8730
050093	01011	23420	12/21/2015	12/31/2016	" 93,210,705 "	" 1,515,472 "	61.5061	" 2,417,853 "	" 76,016 "	31.8072	" 7,655,924 "	" 451,513 "	16.9562	"103,048 "	"6,101 "	16.8903	"103,387,530"	"2,049,102"	50.4550	"101,772,685"	"2,741,333"	37.1253	"205,160,215"	"4,790,435"	42.8271
050096	01011	31084	12/20/2015	12/31/2016	" 1,679,653 "	" 55,405 "	30.3159	" 1,125,417 "	" 60,335 "	18.6528	" 867,517 "	" 72,308 "	11.9975	0 	0 	0.0000	"3,672,587"	"188,048"	19.5301	"3,328,890"	"134,868"	24.6826	"7,001,477"	"322,916"	21.6820
050099	01011	40140	12/20/2015	12/31/2016	" 63,400,933 "	" 1,226,494 "	51.6928	" 3,030,867 "	" 122,452 "	24.7515	" 5,334,973 "	" 303,611 "	17.5717	"553,990 "	"32,388 "	17.1048	"72,320,763"	"1,684,945"	42.9217	"72,169,753"	"2,161,303"	33.3918	"144,490,516"	"3,846,248"	37.5666
050100	01011	41740	12/20/2015	12/31/2016	" 172,462,891 "	" 3,238,463 "	53.2546	" 572,842 "	" 18,559 "	30.8660	" 3,825,684 "	" 215,637 "	17.7413	0 	0 	0.0000	"176,861,417"	"3,472,659"	50.9297	"203,009,726"	"5,560,662"	36.5082	"379,871,143"	"9,033,321"	42.0522
050101	01011	46700	12/20/2015	12/17/2016	" 34,233,245 "	" 421,196 "	81.2763	" 1,228,368 "	" 27,836 "	44.1288	" 2,281,579 "	" 78,000 "	29.2510	"223,129 "	"7,594 "	29.3823	"37,966,321"	"534,626"	71.0147	"34,794,335"	"735,106"	47.3324	"72,760,656"	"1,269,732"	57.3039
050102	01011	40140	12/27/2015	12/24/2016	" 33,520,616 "	" 609,619 "	54.9862	" 667,210 "	" 20,749 "	32.1562	" 2,705,053 "	" 175,298 "	15.4312	0 	0 	0.0000	"36,892,879"	"805,666"	45.7918	"37,149,849"	"1,275,557"	29.1244	"74,042,728"	"2,081,223"	35.5765
050103	01011	31084	12/20/2015	12/31/2016	" 57,288,232 "	" 1,084,979 "	52.8012	" 3,152,704 "	" 107,010 "	29.4618	" 750,304 "	" 37,799 "	19.8498	"490,403 "	"23,532 "	20.8398	"61,681,643"	"1,253,320"	49.2146	"74,299,355"	"1,933,228"	38.4328	"135,980,998"	"3,186,548"	42.6735
050104	01011	31084	01/02/2016	12/17/2016	" 82,995,917 "	" 1,264,161 "	65.6530	" 3,897,445 "	" 110,836 "	35.1641	" 3,322,179 "	" 179,496 "	18.5084	"43,108 "	"2,054 "	20.9873	"90,258,649"	"1,556,547"	57.9865	"59,320,075"	"1,732,717"	34.2353	"149,578,724"	"3,289,264"	45.4748
050107	01011	42200	12/20/2015	12/24/2016	" 66,235,303 "	" 1,260,525 "	52.5458	" 1,891,205 "	" 65,083 "	29.0584	" 1,422,674 "	" 63,630 "	22.3585	0 	0 	0.0000	"69,549,182"	"1,389,238"	50.0628	"96,757,185"	"2,153,320"	44.9340	"166,306,367"	"3,542,558"	46.9453
050108	01011	40900	12/20/2015	12/17/2016	" 189,093,251 "	" 2,644,789 "	71.4965	" 5,049,116 "	" 141,863 "	35.5915	" 10,514,081 "	" 406,341 "	25.8750	"1,955,816 "	"70,574 "	27.7130	"206,612,264"	"3,263,567"	63.3087	"212,282,633"	"4,466,349"	47.5293	"418,894,897"	"7,729,916"	54.1914
050112	01011	31084	12/20/2015	12/31/2016	" 102,907,635 "	" 1,607,930 "	64.0001	" 2,401,645 "	" 83,994 "	28.5931	" 12,082,742 "	" 479,258 "	25.2114	"1,883,726 "	"76,286 "	24.6929	"119,275,748"	"2,247,468"	53.0712	"70,149,515"	"1,831,420"	38.3033	"189,425,263"	"4,078,888"	46.4404
050113	01011	41884	01/02/2016	12/31/2016	" 33,501,014 "	" 492,397 "	68.0366	" 2,659,054 "	" 70,542 "	37.6946	" 3,125,420 "	" 112,971 "	27.6657	0 	0 	0.0000	"39,285,488"	"675,910"	58.1224	"57,785,832"	"1,398,075"	41.3324	"97,071,320"	"2,073,985"	46.8043
050115	01011	41740	12/27/2015	12/24/2016	" 92,893,877 "	" 1,688,517 "	55.0151	" 3,162,473 "	" 95,717 "	33.0398	" 7,034,363 "	" 341,430 "	20.6027	"7,788 "	355 	21.9380	"103,098,501"	"2,126,019"	48.4937	"105,225,568"	"2,902,947"	36.2478	"208,324,069"	"5,028,966"	41.4248
050116	01011	31084	12/20/2015	12/24/2016	" 62,343,151 "	" 1,028,671 "	60.6055	" 1,428,600 "	" 33,784 "	42.2863	" 4,520,209 "	" 206,055 "	21.9369	0 	0 	0.0000	"68,291,960"	"1,268,510"	53.8364	"84,007,214"	"1,977,699"	42.4772	"152,299,174"	"3,246,209"	46.9160
050118	04011	44700	01/01/2016	12/31/2016	" 19,588,543 "	" 310,106 "	63.1672	" 787,667 "	" 21,050 "	37.4189	" 1,020,556 "	" 41,751 "	24.4439	"77,979 "	"3,627 "	21.4996	"21,474,745"	"376,534"	57.0327	"20,164,883"	"522,140"	38.6197	"41,639,628"	"898,674"	46.3345
050121	01011	25260	12/20/2015	12/31/2016	" 37,610,422 "	" 761,638 "	49.3810	" 2,957,967 "	" 112,088 "	26.3897	" 3,522,888 "	" 203,719 "	17.2929	"105,349 "	"6,741 "	15.6281	"44,196,626"	"1,084,186"	40.7648	"77,023,997"	"2,105,497"	36.5823	"121,220,623"	"3,189,683"	38.0040
050122	01011	44700	12/20/2015	12/17/2016	" 33,290,143 "	" 503,585 "	66.1063	" 1,621,399 "	" 41,201 "	39.3534	" 1,855,469 "	" 74,031 "	25.0634	"1,190,499 "	"60,964 "	19.5279	"37,957,510"	"679,781"	55.8379	"30,945,866"	"835,997"	37.0167	"68,903,376"	"1,515,778"	45.4574
050124	01011	31084	12/27/2015	12/24/2016	" 18,895,003 "	" 358,766 "	52.6666	" 1,468,239 "	" 52,918 "	27.7455	" 1,824,768 "	" 102,257 "	17.8449	0 	0 	0.0000	"22,188,010"	"513,941"	43.1723	"18,913,197"	"566,034"	33.4135	"41,101,207"	"1,079,975"	38.0576
050125	01011	41940	12/20/2015	12/31/2016	" 111,706,386 "	" 1,323,161 "	84.4239	" 910,919 "	" 17,837 "	51.0691	" 6,616,562 "	" 186,184 "	35.5378	0 	0 	0.0000	"119,233,867"	"1,527,182"	78.0744	"87,863,368"	"1,800,169"	48.8084	"207,097,235"	"3,327,351"	62.2409
050126	01011	31084	12/27/2015	12/24/2016	" 54,921,834 "	" 963,520 "	57.0012	" 768,422 "	" 20,897 "	36.7719	" 3,797,808 "	" 189,502 "	20.0410	"219,505 "	"11,452 "	19.1674	"59,707,569"	"1,185,371"	50.3704	"61,754,502"	"1,706,710"	36.1834	"121,462,071"	"2,892,081"	41.9982
050127	01011	40900	12/20/2015	12/24/2016	" 20,406,718 "	" 297,336 "	68.6318	" 1,060,501 "	" 23,795 "	44.5682	" 1,608,468 "	" 61,119 "	26.3170	0 	0 	0.0000	"23,075,687"	"382,250"	60.3680	"30,621,015"	"693,556"	44.1507	"53,696,702"	"1,075,806"	49.9130
050128	01011	41740	12/27/2015	12/24/2016	" 62,941,016 "	" 1,165,543 "	54.0015	" 165,580 "	" 7,621 "	21.7268	" 7,211,236 "	" 347,985 "	20.7228	0 	0 	0.0000	"70,317,832"	"1,521,149"	46.2268	"73,337,161"	"2,119,734"	34.5973	"143,654,993"	"3,640,883"	39.4561
050129	01011	40140	12/20/2015	12/24/2016	" 76,279,062 "	" 1,981,637 "	38.4930	" 3,606,236 "	" 96,626 "	37.3216	" 6,897,828 "	" 194,722 "	35.4240	0 	0 	0.0000	"86,783,126"	"2,272,985"	38.1802	"82,780,724"	"1,895,037"	43.6829	"169,563,850"	"4,168,022"	40.6821
050131	01011	42034	12/27/2015	12/24/2016	" 12,036,844 "	" 151,337 "	79.5367	" 511,124 "	" 8,492 "	60.1889	" 531,113 "	" 17,811 "	29.8194	0 	0 	0.0000	"13,079,081"	"177,640"	73.6269	"21,897,228"	"459,160"	47.6898	"34,976,309"	"636,800"	54.9251
050132	01011	31084	12/31/2015	12/29/2016	" 32,829,529 "	" 566,959 "	57.9046	" 376,123 "	" 11,452 "	32.8434	" 2,162,191 "	" 108,151 "	19.9923	0 	0 	0.0000	"35,367,843"	"686,562"	51.5144	"30,967,752"	"925,139"	33.4736	"66,335,595"	"1,611,701"	41.1587
050133	01011	49700	12/27/2015	12/24/2016	" 67,199,419 "	" 1,061,428 "	63.3104	" 1,881,024 "	" 55,230 "	34.0580	" 4,320,135 "	" 216,171 "	19.9848	0 	0 	0.0000	"73,400,578"	"1,332,829"	55.0713	"71,604,165"	"1,961,360"	36.5074	"145,004,743"	"3,294,189"	44.0183
050135	01011	31084	12/27/2015	12/24/2016	" 28,669,279 "	" 667,632 "	42.9417	" 3,201,362 "	" 113,637 "	28.1718	" 3,598,010 "	" 189,970 "	18.9399	0 	0 	0.0000	"35,468,651"	"971,239"	36.5190	"50,347,689"	"1,698,911"	29.6353	"85,816,340"	"2,670,150"	32.1391
050136	01011	42220	12/20/2015	12/17/2016	" 16,024,641 "	" 211,444 "	75.7867	" 342,318 "	" 7,456 "	45.9117	" 918,701 "	" 29,919 "	30.7063	0 	0 	0.0000	"17,285,660"	"248,819"	69.4708	"14,620,959"	"291,057"	50.2340	"31,906,619"	"539,876"	59.0999
050137	01011	31084	12/20/2015	12/17/2016	" 61,677,891 "	" 895,753 "	68.8559	" 1,837,797 "	" 48,901 "	37.5820	" 3,513,061 "	" 141,366 "	24.8508	"127,306 "	"4,558 "	27.9302	"67,156,055"	"1,090,578"	61.5784	"36,933,573"	"853,520"	43.2721	"104,089,628"	"1,944,098"	53.5413
050138	01011	31084	12/20/2015	12/17/2016	" 153,728,362 "	" 2,496,262 "	61.5834	" 4,822,513 "	" 130,960 "	36.8243	" 11,757,988 "	" 435,266 "	27.0133	"252,609 "	"8,818 "	28.6470	"170,561,472"	"3,071,306"	55.5339	"141,185,614"	"3,203,146"	44.0772	"311,747,086"	"6,274,452"	49.6851
050139	01011	31084	12/20/2015	12/17/2016	" 119,788,690 "	" 1,721,873 "	69.5688	" 2,919,349 "	" 82,661 "	35.3171	" 5,413,854 "	" 213,494 "	25.3583	"69,946 "	"2,202 "	31.7648	"128,191,839"	"2,020,230"	63.4541	"94,232,845"	"2,291,489"	41.1230	"222,424,684"	"4,311,719"	51.5861
050140	01011	40140	12/20/2015	12/17/2016	" 198,266,894 "	" 2,941,892 "	67.3943	" 4,932,630 "	" 147,564 "	33.4271	" 275,163 "	" 9,005 "	30.5567	0 	0 	0.0000	"203,474,687"	"3,098,461"	65.6696	"174,169,346"	"4,315,579"	40.3583	"377,644,033"	"7,414,040"	50.9363
050145	01011	41500	12/25/2015	12/22/2016	" 61,619,226 "	" 817,509 "	75.3744	" 2,255,508 "	" 50,924 "	44.2917	" 9,167,962 "	" 277,248 "	33.0677	"41,964 "	"2,324 "	18.0568	"73,084,660"	"1,148,005"	63.6623	"106,476,075"	"2,004,674"	53.1139	"179,560,735"	"3,152,679"	56.9550
050149	01011	31084	12/20/2015	12/24/2016	" 77,123,080 "	" 1,238,783 "	62.2571	" 2,209,741 "	" 67,337 "	32.8161	" 3,566,660 "	" 161,082 "	22.1419	0 	0 	0.0000	"82,899,481"	"1,467,202"	56.5018	"75,427,005"	"1,792,098"	42.0887	"158,326,486"	"3,259,300"	48.5768
050150	01011	05	12/20/2015	12/24/2016	" 25,365,153 "	" 367,892 "	68.9473	" 315,051 "	" 7,554 "	41.7065	" 2,135,893 "	" 87,050 "	24.5364	"22,775 "	905 	25.1657	"27,838,872"	"463,401"	60.0751	"37,532,899"	"908,540"	41.3112	"65,371,771"	"1,371,941"	47.6491
050152	01011	41884	12/20/2015	12/24/2016	" 36,441,082 "	" 448,514 "	81.2485	" 1,171,419 "	" 23,638 "	49.5566	" 1,605,234 "	" 51,868 "	30.9484	"858,327 "	"32,324 "	26.5539	"40,076,062"	"556,344"	72.0347	"50,780,550"	"1,044,419"	48.6209	"90,856,612"	"1,600,763"	56.7583
050153	01011	41940	12/27/2015	12/24/2016	" 62,552,595 "	" 776,009 "	80.6081	" 774,790 "	" 18,605 "	41.6442	" 2,518,090 "	" 89,267 "	28.2085	"97,762 "	"3,670 "	26.6381	"65,943,237"	"887,551"	74.2980	"55,535,163"	"1,199,382"	46.3031	"121,478,400"	"2,086,933"	58.2091
050158	01011	31084	12/20/2015	12/17/2016	" 7,295,551 "	" 125,229 "	58.2577	" 633,618 "	" 17,561 "	36.0810	" 585,121 "	" 28,510 "	20.5234	"42,660 "	"2,159 "	19.7591	"8,556,950"	"173,459"	49.3313	"8,856,795"	"296,527"	29.8684	"17,413,745"	"469,986"	37.0516
050159	01011	37100	01/02/2016	12/31/2016	" 47,484,807 "	" 885,704 "	53.6125	" 2,695,516 "	" 87,750 "	30.7181	" 3,472,896 "	" 170,288 "	20.3942	0 	0 	0.0000	"53,653,219"	"1,143,742"	46.9102	"49,240,267"	"1,469,444"	33.5095	"102,893,486"	"2,613,186"	39.3747
050167	01011	44700	01/10/2016	12/25/2016	" 41,743,067 "	" 780,458 "	53.4853	" 2,361,097 "	" 69,964 "	33.7473	" 3,488,615 "	" 181,697 "	19.2002	"1,333,614 "	"74,856 "	17.8157	"48,926,393"	"1,106,975"	44.1983	"64,085,246"	"1,577,232"	40.6315	"113,011,639"	"2,684,207"	42.1024
050168	01011	11244	12/20/2015	12/17/2016	" 70,236,647 "	" 1,242,737 "	56.5177	" 2,429,619 "	" 74,068 "	32.8025	" 8,495,079 "	" 366,865 "	23.1559	"318,642 "	"11,841 "	26.9101	"81,479,987"	"1,695,511"	48.0563	"117,105,542"	"2,824,135"	41.4660	"198,585,529"	"4,519,646"	43.9383
050169	01011	31084	01/01/2016	12/30/2016	" 77,327,704 "	" 1,477,230 "	52.3464	" 2,510,750 "	" 90,924 "	27.6137	" 5,980,399 "	" 347,770 "	17.1964	0 	0 	0.0000	"85,818,853"	"1,915,924"	44.7924	"113,187,839"	"3,258,508"	34.7361	"199,006,692"	"5,174,432"	38.4596
050174	01011	42220	12/20/2015	12/27/2016	" 88,346,478 "	" 1,185,471 "	74.5244	" 1,602,996 "	" 37,938 "	42.2530	" 6,841,162 "	" 236,161 "	28.9682	"870,058 "	"28,333 "	30.7083	"97,660,694"	"1,487,903"	65.6365	"93,571,420"	"1,854,149"	50.4660	"191,232,114"	"3,342,052"	57.2200
050179	01011	33700	12/19/2015	12/30/2016	" 41,841,621 "	" 747,384 "	55.9841	" 3,780,598 "	" 93,818 "	40.2971	" 728,830 "	" 41,683 "	17.4851	"601,287 "	"37,373 "	16.0888	"46,952,336"	"920,258"	51.0208	"35,546,675"	"1,115,171"	31.8755	"82,499,011"	"2,035,429"	40.5315
050180	01011	36084	12/24/2015	12/30/2016	" 123,618,274 "	" 1,549,263 "	79.7917	" 997,508 "	" 22,735 "	43.8754	" 10,834,856 "	" 402,601 "	26.9121	"233,249 "	"9,207 "	25.3339	"135,683,887"	"1,983,806"	68.3957	"187,057,206"	"3,366,418"	55.5657	"322,741,093"	"5,350,224"	60.3229
050191	01011	31084	12/20/2015	12/24/2016	" 51,810,715 "	" 866,303 "	59.8067	" 1,963,876 "	" 53,023 "	37.0382	" 2,488,897 "	" 101,801 "	24.4486	"1,192,588 "	"53,960 "	22.1013	"57,456,076"	"1,075,087"	53.4432	"68,751,554"	"1,612,674"	42.6320	"126,207,630"	"2,687,761"	46.9564
050192	01011	23420	12/20/2015	12/31/2016	" 6,848,096 "	" 130,612 "	52.4308	" 625,487 "	" 22,777 "	27.4613	" 258,910 "	" 14,109 "	18.3507	"27,923 "	"1,742 "	16.0293	"7,760,416"	"169,240"	45.8545	"38,418,912"	"1,162,435"	33.0504	"46,179,328"	"1,331,675"	34.6776
050194	05901	42100	01/01/2016	12/31/2016	" 21,610,389 "	" 279,825 "	77.2282	" 528,699 "	" 13,698 "	38.5961	" 1,585,432 "	" 56,406 "	28.1073	0 	0 	0.0000	"23,724,520"	"349,930"	67.7980	"28,907,783"	"588,219"	49.1446	"52,632,302"	"938,149"	56.1023
050195	01011	36084	01/02/2016	12/17/2016	" 86,343,667 "	" 982,092 "	87.9181	" 2,561,412 "	" 58,832 "	43.5377	" 6,486,820 "	" 209,419 "	30.9753	0 	0 	0.0000	"95,391,899"	"1,250,343"	76.2926	"82,715,702"	"1,576,185"	52.4784	"178,107,601"	"2,826,528"	63.0129
050197	01011	41884	12/20/2015	12/24/2016	" 37,913,828 "	" 444,276 "	85.3385	" 1,817,533 "	" 39,261 "	46.2936	" 1,171,296 "	" 36,234 "	32.3259	0 	0 	0.0000	"40,902,657"	"519,771"	78.6936	"58,772,343"	"1,073,621"	54.7422	"99,675,000"	"1,593,392"	62.5552
050204	12001	31084	01/01/2016	12/31/2016	" 26,607,341 "	" 587,076 "	45.3218	" 933,031 "	" 33,105 "	28.1840	" 2,093,972 "	" 113,801 "	18.4003	0 	0 	0.0000	"29,634,344"	"733,982"	40.3748	"26,014,530"	"670,061"	38.8241	"55,648,874"	"1,404,043"	39.6347
050205	01011	31084	12/20/2015	12/17/2016	" 4,925,608 "	" 113,890 "	43.2488	" 318,604 "	" 11,101 "	28.7005	" 410,363 "	" 28,714 "	14.2914	0 	0 	0.0000	"5,654,575"	"153,705"	36.7885	"6,446,241"	"232,104"	27.7731	"12,100,816"	"385,809"	31.3648
050211	01011	36084	01/02/2016	12/30/2016	" 17,032,093 "	" 220,513 "	77.2385	" 405,175 "	" 8,626 "	46.9714	" 2,119,576 "	" 68,774 "	30.8194	"128,007 "	"6,354 "	20.1459	"19,684,851"	"304,267"	64.6960	"20,521,455"	"642,710"	31.9296	"40,206,306"	"946,977"	42.4575
050222	01011	41740	12/20/2015	12/31/2016	" 73,151,894 "	" 1,399,425 "	52.2728	" 603,688 "	" 20,963 "	28.7978	" 4,274,169 "	" 244,305 "	17.4952	0 	0 	0.0000	"78,029,751"	"1,664,693"	46.8734	"91,979,541"	"2,486,389"	36.9932	"170,009,292"	"4,151,082"	40.9554
050224	01011	11244	12/19/2015	12/17/2016	" 96,735,060 "	" 1,940,665 "	49.8463	" 4,126,297 "	" 149,604 "	27.5815	" 11,567,326 "	" 599,870 "	19.2831	0 	0 	0.0000	"112,428,683"	"2,690,139"	41.7929	"215,629,888"	"5,156,903"	41.8138	"328,058,571"	"7,847,042"	41.8067
050225	01011	17020	12/20/2015	12/31/2016	" 20,409,947 "	" 355,704 "	57.3790	" 1,957,500 "	" 63,031 "	31.0561	" 1,132,780 "	" 59,292 "	19.1051	"420,179 "	"23,459 "	17.9112	"23,920,406"	"501,486"	47.6991	"48,017,106"	"1,346,725"	35.6547	"71,937,512"	"1,848,211"	38.9228
050226	01011	11244	12/31/2015	12/29/2016	" 36,150,362 "	" 746,627 "	48.4182	" 87,472 "	" 3,388 "	25.8182	" 2,714,914 "	" 150,616 "	18.0254	0 	0 	0.0000	"38,952,748"	"900,631"	43.2505	"40,653,278"	"1,127,133"	36.0679	"79,606,026"	"2,027,764"	39.2580
050228	01011	41884	12/19/2015	12/30/2016	" 158,959,432 "	" 1,944,391 "	81.7528	" 2,844,215 "	" 73,133 "	38.8910	" 10,571,488 "	" 326,088 "	32.4191	"8,953,431 "	"280,852 "	31.8795	"181,328,566"	"2,624,464"	69.0917	"129,411,922"	"2,837,093"	45.6143	"310,740,488"	"5,461,557"	56.8960
050230	01011	11244	12/20/2015	12/17/2016	" 19,477,456 "	" 411,133 "	47.3751	" 710,859 "	" 28,669 "	24.7954	" 580,163 "	" 33,954 "	17.0867	0 	0 	0.0000	"20,768,478"	"473,756"	43.8379	"15,934,197"	"554,484"	28.7370	"36,702,675"	"1,028,240"	35.6947
050231	01011	31084	12/27/2015	12/24/2016	" 110,637,821 "	" 1,873,164 "	59.0647	" 3,455,826 "	" 113,728 "	30.3868	" 8,782,472 "	" 321,196 "	27.3430	0 	0 	0.0000	"122,876,119"	"2,308,088"	53.2372	"115,063,949"	"3,057,543"	37.6328	"237,940,068"	"5,365,631"	44.3452
050232	01011	42020	12/20/2015	12/24/2016	" 23,116,267 "	" 419,409 "	55.1163	" 380,529 "	" 11,176 "	34.0488	" 80,493 "	" 4,557 "	17.6636	0 	0 	0.0000	"23,577,289"	"435,142"	54.1830	"30,361,538"	"692,489"	43.8441	"53,938,827"	"1,127,631"	47.8338
050234	01011	41740	12/20/2015	12/31/2016	" 10,297,613 "	" 176,904 "	58.2102	" 8,466 "	 339 	24.9735	" 479,574 "	" 26,700 "	17.9616	0 	0 	0.0000	"10,785,653"	"203,943"	52.8856	"18,915,885"	"487,963"	38.7650	"29,701,538"	"691,906"	42.9271
050235	02001	31084	12/27/2015	12/24/2016	" 69,840,150 "	" 1,227,136 "	56.9131	" 2,810,353 "	" 77,701 "	36.1688	" 8,498,366 "	" 393,417 "	21.6014	"150,268 "	"7,987 "	18.8141	"81,299,137"	"1,706,241"	47.6481	"92,534,043"	"2,265,852"	40.8385	"173,833,180"	"3,972,093"	43.7636
050236	01011	37100	12/20/2015	12/31/2016	" 22,930,983 "	" 427,501 "	53.6396	" 865,461 "	" 34,917 "	24.7862	" 2,041,049 "	" 104,276 "	19.5735	"61,043 "	"2,953 "	20.6715	"25,898,536"	"569,647"	45.4642	"32,466,845"	"843,743"	38.4795	"58,365,381"	"1,413,390"	41.2946
050238	01011	31084	12/27/2015	12/29/2016	" 48,396,841 "	" 1,432,696 "	33.7803	" 1,043,781 "	" 58,527 "	17.8342	" 4,527,189 "	" 440,337 "	10.2812	"197,962 "	"11,553 "	17.1351	"54,165,773"	"1,943,113"	27.8758	"57,533,953"	"2,128,697"	27.0278	"111,699,726"	"4,071,810"	27.4325
050239	01011	31084	12/20/2015	12/31/2016	" 69,393,573 "	" 1,352,602 "	51.3038	" 2,768,073 "	" 104,340 "	26.5294	" 6,437,657 "	" 340,009 "	18.9338	"578,538 "	"28,403 "	20.3689	"79,177,841"	"1,825,354"	43.3767	"105,484,682"	"2,808,085"	37.5646	"184,662,523"	"4,633,439"	39.8543
050242	01011	42100	12/20/2015	12/24/2016	" 73,900,053 "	" 914,577 "	80.8024	" 1,671,802 "	" 37,831 "	44.1913	" 4,135,611 "	" 129,488 "	31.9382	0 	0 	0.0000	"79,707,466"	"1,081,896"	73.6739	"74,029,161"	"1,416,927"	52.2463	"153,736,627"	"2,498,823"	61.5236
050243	04011	40140	01/01/2016	12/31/2016	" 101,381,586 "	" 1,632,368 "	62.1071	" 2,850,566 "	" 91,775 "	31.0604	" 6,865,145 "	" 339,647 "	20.2126	"1,151,048 "	"61,940 "	18.5833	"112,248,345"	"2,125,730"	52.8046	"80,785,417"	"2,126,107"	37.9969	"193,033,762"	"4,251,837"	45.4001
050245	01011	40140	01/08/2016	12/23/2016	" 90,310,854 "	" 1,947,502 "	46.3727	" 7,003,191 "	" 298,256 "	23.4805	" 7,056,943 "	" 427,290 "	16.5156	"6,301,068 "	"357,746 "	17.6132	"110,672,056"	"3,030,794"	36.5159	"78,457,767"	"2,811,382"	27.9072	"189,129,823"	"5,842,176"	32.3732
050248	01011	41500	12/21/2015	12/18/2016	" 42,498,933 "	" 632,998 "	67.1391	" 2,194,751 "	" 67,987 "	32.2819	" 3,877,141 "	" 171,878 "	22.5575	"22,595 "	720 	31.3819	"48,593,420"	"873,583"	55.6254	"47,225,806"	"1,143,196"	41.3103	"95,819,226"	"2,016,779"	47.5110
050254	01011	40900	01/03/2016	12/31/2016	" 30,552,172 "	" 467,218 "	65.3917	" 1,199,800 "	" 38,049 "	31.5330	" 2,228,514 "	" 109,049 "	20.4359	"2,266,690 "	"116,870 "	19.3950	"36,247,176"	"731,186"	49.5731	"52,300,214"	"1,512,825"	34.5712	"88,547,390"	"2,244,011"	39.4594
050257	01011	12540	12/24/2015	12/25/2016	" 2,786,067 "	" 75,000 "	37.1476	" 464,076 "	" 18,298 "	25.3621	" 890,388 "	" 66,958 "	13.2977	0 	0 	0.0000	"4,140,531"	"160,256"	25.8370	"5,359,641"	"227,847"	23.5230	"9,500,172"	"388,103"	24.4785
050261	01011	47300	12/27/2015	12/24/2016	" 22,470,039 "	" 437,233 "	51.3915	" 945,065 "	" 34,438 "	27.4425	" 1,639,023 "	" 102,686 "	15.9615	0 	0 	0.0000	"25,054,127"	"574,357"	43.6212	"31,690,624"	"1,081,583"	29.3002	"56,744,751"	"1,655,940"	34.2674
050262	01011	31084	12/20/2015	12/31/2016	" 266,129,947 "	" 4,152,699 "	64.0860	" 9,848,761 "	" 308,383 "	31.9368	" 24,027,277 "	" 931,487 "	25.7945	"10,131,717 "	"415,971 "	24.3568	"310,137,702"	"5,808,540"	53.3934	"351,133,669"	"8,365,052"	41.9763	"661,271,371"	"14,173,592"	46.6552
050272	01011	40140	12/20/2015	12/31/2016	" 34,128,457 "	" 708,303 "	48.1834	" 1,201,781 "	" 50,232 "	23.9246	" 2,639,332 "	" 157,230 "	16.7864	0 	0 	0.0000	"37,969,570"	"915,765"	41.4621	"48,086,090"	"1,446,311"	33.2474	"86,055,660"	"2,362,076"	36.4322
050276	01011	36084	01/01/2016	12/31/2016	" 66,000,830 "	" 1,056,513 "	62.4704	" 8,636,174 "	" 285,092 "	30.2926	" 1,753,531 "	" 76,043 "	23.0597	"1,902,213 "	"79,078 "	24.0549	"78,292,748"	"1,496,726"	52.3093	"95,953,079"	"2,752,785"	34.8567	"174,245,827"	"4,249,511"	41.0037
050278	02001	31084	12/27/2015	12/24/2016	" 77,539,837 "	" 1,362,628 "	56.9046	" 1,799,479 "	" 53,188 "	33.8324	" 11,978,099 "	" 576,342 "	20.7830	0 	0 	0.0000	"91,317,415"	"1,992,158"	45.8384	"62,207,424"	"1,278,546"	48.6548	"153,524,839"	"3,270,704"	46.9394
050279	01011	40140	12/20/2015	12/30/2016	" 10,206,043 "	" 195,602 "	52.1776	" 253,704 "	" 9,997 "	25.3780	" 162,877 "	" 8,198 "	19.8679	"27,232 "	"1,661 "	16.3949	"10,649,856"	"215,458"	49.4289	"14,794,060"	"509,821"	29.0181	"25,443,916"	"725,279"	35.0816
