PROV	MAC	CBSAGEO	FROM	TO	 RNSAL 	 RNHR 	rnahw	 LPNSTSAL 	 LPNSTHR 	lpnstahw	 naoratsal 	 NAORATHR 	naoratahw	MASAL	MAHR	maahw	nursesal	nursehr	nurseahw	allothersal	allotherhr	allotherahw	totalsal	totalhr	totalahw
010021	10001	01	01/06/2016	12/21/2016	" 2,022,707 "	" 75,196 "	26.8991	" 772,522 "	" 44,323 "	17.4294	" 523,310 "	" 49,272 "	10.6208	0 	0 	0.0000	"3,318,539"	"168,791"	19.6606	"5,500,659"	"282,030"	19.5038	"8,819,198"	"450,821"	19.5625
010023	10001	33860	01/01/2016	12/31/2016	" 40,783,516 "	" 1,135,699 "	35.9105	" 1,620,712 "	" 75,444 "	21.4824	" 4,650,979 "	" 387,413 "	12.0052	"224,850 "	"16,365 "	13.7394	"47,280,057"	"1,614,922"	29.2770	"78,757,927"	"2,860,606"	27.5319	"126,037,983"	"4,475,527"	28.1616
010024	10001	33860	01/01/2016	12/31/2016	" 30,463,216 "	" 910,483 "	33.4583	" 1,777,943 "	" 85,707 "	20.7444	" 3,052,402 "	" 276,353 "	11.0453	"309,189 "	"24,760 "	12.4874	"35,602,750"	"1,297,303"	27.4437	"33,540,570"	"1,358,223"	24.6945	"69,143,320"	"2,655,526"	26.0375
010029	10001	12220	01/01/2016	12/31/2016	" 36,281,224 "	" 1,207,209 "	30.0538	" 1,225,547 "	" 70,785 "	17.3137	" 3,867,646 "	" 324,838 "	11.9064	"472,357 "	"42,369 "	11.1486	"41,846,774"	"1,645,201"	25.4357	"57,862,260"	"2,512,190"	23.0326	"99,709,034"	"4,157,391"	23.9836
010033	10001	13820	01/01/2016	12/31/2016	" 181,088,948 "	" 5,667,781 "	31.9506	" 8,937,289 "	" 370,791 "	24.1033	" 14,145,072 "	" 1,050,254 "	13.4682	"10,018,392 "	"692,246 "	14.4723	"214,189,701"	"7,781,072"	27.5270	"238,550,868"	"9,034,466"	26.4045	"452,740,569"	"16,815,538"	26.9239
010034	10001	33860	01/01/2016	12/31/2016	" 2,119,878 "	" 76,377 "	27.7554	" 232,789 "	" 12,488 "	18.6410	" 233,212 "	" 22,766 "	10.2439	0 	0 	0.0000	"2,585,879"	"111,631"	23.1645	"4,248,192"	"212,675"	19.9750	"6,834,071"	"324,306"	21.0729
010035	10001	01	01/01/2016	12/31/2016	" 15,071,385 "	" 545,974 "	27.6046	" 1,036,085 "	" 52,677 "	19.6687	" 2,514,585 "	" 185,246 "	13.5743	"23,523 "	"2,075 "	11.3377	"18,645,577"	"785,971"	23.7230	"21,004,209"	"941,919"	22.2994	"39,649,786"	"1,727,890"	22.9469
010036	10001	01	01/01/2016	12/31/2016	" 3,665,312 "	" 130,245 "	28.1417	" 674,640 "	" 40,572 "	16.6282	" 79,745 "	" 6,507 "	12.2553	0 	0 	0.0000	"4,419,697"	"177,324"	24.9244	"8,115,972"	"317,138"	25.5913	"12,535,669"	"494,462"	25.3521
010038	05901	11500	01/01/2016	12/31/2016	" 5,284,529 "	" 154,068 "	34.3001	" 471,352 "	" 25,916 "	18.1878	" 651,663 "	" 58,548 "	11.1303	0 	0 	0.0000	"6,407,544"	"238,532"	26.8624	"7,719,305"	"267,061"	28.9047	"14,126,850"	"505,592"	27.9412
010039	10001	26620	01/08/2016	12/23/2016	" 103,603,591 "	" 3,646,943 "	28.4083	" 4,889,713 "	" 241,816 "	20.2208	" 21,079,643 "	" 1,267,729 "	16.6279	"8,888,449 "	"601,542 "	14.7761	"138,461,396"	"5,758,030"	24.0467	"156,416,631"	"6,001,067"	26.0648	"294,878,026"	"11,759,097"	25.0766
010040	10001	23460	01/01/2016	12/31/2016	" 24,010,791 "	" 781,254 "	30.7337	" 1,106,849 "	" 65,158 "	16.9872	" 2,360,807 "	" 189,472 "	12.4599	0 	0 	0.0000	"27,478,447"	"1,035,884"	26.5266	"36,423,426"	"1,477,042"	24.6597	"63,901,873"	"2,512,926"	25.4293
010044	07001	01	01/01/2016	12/31/2016	" 1,602,304 "	" 49,000 "	32.6998	" 148,025 "	" 7,821 "	18.9272	" 7,947 "	 506 	15.7210	0 	0 	0.0000	"1,758,277"	"57,327"	30.6711	"4,079,183"	"157,492"	25.9010	"5,837,459"	"214,818"	27.1739
010045	10001	01	01/01/2016	12/31/2016	" 2,093,750 "	" 76,536 "	27.3564	" 200,184 "	" 11,543 "	17.3419	" 112,715 "	" 11,723 "	9.6144	"148,570 "	"14,281 "	10.4029	"2,555,219"	"114,084"	22.3976	"4,032,346"	"173,168"	23.2858	"6,587,565"	"287,252"	22.9330
010046	05901	23460	01/01/2016	12/31/2016	" 11,652,935 "	" 379,617 "	30.6966	" 533,078 "	" 27,997 "	19.0408	" 1,381,907 "	" 125,581 "	11.0041	"75,005 "	"4,764 "	15.7436	"13,642,924"	"537,958"	25.3606	"17,310,241"	"734,161"	23.5783	"30,953,165"	"1,272,119"	24.3320
010047	10001	01	01/01/2016	12/31/2016	" 579,120 "	" 24,099 "	24.0309	" 87,856 "	" 6,207 "	14.1543	" 87,669 "	" 9,779 "	8.9650	0 	0 	0.0000	"754,645"	"40,085"	18.8261	"766,061"	"45,044"	17.0069	"1,520,706"	"85,129"	17.8635
010049	05901	01	01/01/2016	12/31/2016	" 4,739,506 "	" 173,772 "	27.2742	" 806,188 "	" 43,606 "	18.4880	" 357,684 "	" 30,919 "	11.5686	"141,960 "	"13,154 "	10.7923	"6,045,338"	"261,451"	23.1223	"11,765,519"	"464,216"	25.3449	"17,810,857"	"725,667"	24.5441
010051	10001	01	01/01/2016	12/31/2016	" 475,479 "	" 18,432 "	25.7964	" 73,278 "	" 4,532 "	16.1690	" 103,143 "	" 9,642 "	10.6973	0 	0 	0.0000	"651,900"	"32,606"	19.9933	"2,696,352"	"144,447"	18.6667	"3,348,252"	"177,053"	18.9110
010052	10001	01	01/01/2016	12/31/2016	" 1,101,410 "	" 37,479 "	29.3875	" 50,722 "	" 2,179 "	23.2779	" 128,070 "	" 13,715 "	9.3379	"182,626 "	"7,517 "	24.2946	"1,462,829"	"60,890"	24.0241	"1,589,059"	"93,742"	16.9514	"3,051,888"	"154,632"	19.7364
010055	10001	20020	01/01/2016	12/31/2016	" 19,206,668 "	" 635,379 "	30.2287	" 2,724,169 "	" 135,303 "	20.1338	" 2,126,867 "	" 204,400 "	10.4054	735 	70 	10.5000	"24,058,439"	"975,152"	24.6715	"35,343,930"	"1,234,537"	28.6293	"59,402,369"	"2,209,689"	26.8827
010056	10001	13820	01/01/2016	12/31/2016	" 52,531,610 "	" 1,682,020 "	31.2313	" 3,205,374 "	" 157,469 "	20.3556	" 8,966,771 "	" 668,608 "	13.4111	"1,024,574 "	"78,583 "	13.0381	"65,728,329"	"2,586,680"	25.4103	"71,176,179"	"1,427,195"	49.8714	"136,904,508"	"4,013,875"	34.1078
010058	10001	13820	01/01/2016	12/31/2016	" 586,149 "	" 21,094 "	27.7875	" 93,645 "	" 5,596 "	16.7343	" 157,181 "	" 17,174 "	9.1523	0 	0 	0.0000	"836,975"	"43,864"	19.0811	"2,397,055"	"104,272"	22.9885	"3,234,030"	"148,136"	21.8315
010059	10001	19460	01/09/2016	12/24/2016	" 1,111,307 "	" 43,701 "	25.4298	" 75,273 "	" 5,035 "	14.9500	" 151,347 "	" 14,444 "	10.4782	0 	0 	0.0000	"1,337,927"	"63,180"	21.1764	"3,237,015"	"156,729"	20.6536	"4,574,942"	"219,909"	20.8038
010061	10001	01	01/10/2016	12/25/2016	" 4,908,145 "	" 185,443 "	26.4671	" 578,275 "	" 32,518 "	17.7832	" 349,963 "	" 31,599 "	11.0751	"109,462 "	"10,428 "	10.4969	"5,945,845"	"259,988"	22.8697	"12,311,575"	"586,617"	20.9874	"18,257,420"	"846,605"	21.5655
010062	10001	20020	01/01/2016	12/31/2016	" 1,967,356 "	" 78,217 "	25.1526	" 332,809 "	" 19,692 "	16.9009	" 254,126 "	" 22,766 "	11.1624	"184,499 "	"13,568 "	13.5977	"2,738,789"	"134,243"	20.4017	"3,081,607"	"199,466"	15.4493	"5,820,396"	"333,709"	17.4415
010069	10001	01	01/01/2016	12/31/2016	" 2,064,789 "	" 76,005 "	27.1665	" 318,267 "	" 18,200 "	17.4872	" 258,427 "	" 25,641 "	10.0787	0 	0 	0.0000	"2,641,483"	"119,846"	22.0406	"3,292,648"	"194,209"	16.9541	"5,934,131"	"314,055"	18.8952
010073	10001	01	12/26/2015	12/24/2016	" 1,456,214 "	" 56,924 "	25.5817	" 439,190 "	" 27,421 "	16.0166	" 149,714 "	" 18,491 "	8.0966	0 	0 	0.0000	"2,045,118"	"102,836"	19.8872	"4,063,698"	"226,761"	17.9206	"6,108,816"	"329,597"	18.5342
010078	10001	11500	01/01/2016	12/31/2016	" 19,734,122 "	" 628,475 "	31.4000	" 2,476,805 "	" 135,375 "	18.2959	" 4,263,503 "	" 334,488 "	12.7464	"45,697 "	"4,087 "	11.1816	"26,520,128"	"1,102,425"	24.0562	"31,685,134"	"1,487,416"	21.3021	"58,205,261"	"2,589,841"	22.4745
010079	10001	26620	01/01/2016	12/31/2016	" 6,217,630 "	" 244,794 "	25.3994	" 523,597 "	" 28,604 "	18.3050	" 1,269,444 "	" 115,270 "	11.0128	0 	0 	0.0000	"8,010,671"	"388,668"	20.6106	"16,962,685"	"655,875"	25.8627	"24,973,356"	"1,044,543"	23.9084
010083	05901	19300	01/01/2016	12/31/2016	" 11,364,835 "	" 355,846 "	31.9375	" 616,913 "	" 27,695 "	22.2752	" 1,133,157 "	" 80,346 "	14.1035	0 	0 	0.0000	"13,114,905"	"463,887"	28.2718	"21,104,934"	"766,207"	27.5447	"34,219,839"	"1,230,094"	27.8189
010085	10001	19460	01/08/2016	12/23/2016	" 14,056,292 "	" 514,503 "	27.3201	" 948,780 "	" 50,584 "	18.7565	" 2,245,027 "	" 176,370 "	12.7291	"331,351 "	"21,952 "	15.0943	"17,581,450"	"763,409"	23.0302	"27,410,929"	"1,214,778"	22.5646	"44,992,379"	"1,978,187"	22.7442
010086	10001	01	01/01/2016	12/31/2016	" 2,604,473 "	" 86,288 "	30.1835	" 326,594 "	" 13,721 "	23.8025	" 162,283 "	" 8,569 "	18.9384	0 	0 	0.0000	"3,093,350"	"108,578"	28.4897	"5,968,109"	"230,822"	25.8559	"9,061,459"	"339,400"	26.6985
010087	10001	33660	01/01/2016	12/31/2016	" 19,872,431 "	" 679,863 "	29.2301	" 593,899 "	" 35,618 "	16.6741	" 1,455,690 "	" 135,659 "	10.7305	0 	0 	0.0000	"21,922,020"	"851,140"	25.7561	"36,897,317"	"1,620,992"	22.7622	"58,819,337"	"2,472,132"	23.7930
010089	10001	13820	01/01/2016	12/31/2016	" 8,728,058 "	" 296,987 "	29.3887	" 727,304 "	" 40,988 "	17.7442	" 437,628 "	" 38,347 "	11.4124	0 	0 	0.0000	"9,892,990"	"376,322"	26.2886	"17,758,962"	"736,821"	24.1021	"27,651,953"	"1,113,143"	24.8413
010090	10001	33660	01/01/2016	12/31/2016	" 28,216,669 "	" 942,489 "	29.9385	" 1,088,635 "	" 55,688 "	19.5488	" 2,410,862 "	" 201,063 "	11.9906	"29,922 "	"2,652 "	11.2828	"31,746,088"	"1,201,892"	26.4134	"52,649,163"	"1,857,540"	28.3435	"84,395,251"	"3,059,432"	27.5853
010091	10001	01	01/01/2016	12/31/2016	" 1,260,358 "	" 52,220 "	24.1355	" 335,271 "	" 23,155 "	14.4794	" 181,908 "	" 17,316 "	10.5052	0 	0 	0.0000	"1,777,537"	"92,691"	19.1770	"2,113,566"	"132,441"	15.9585	"3,891,103"	"225,132"	17.2837
010092	10001	46220	01/01/2016	12/31/2016	" 53,523,996 "	" 1,818,965 "	29.4255	" 3,665,508 "	" 185,228 "	19.7891	" 5,322,733 "	" 428,386 "	12.4251	"10,558,408 "	"833,045 "	12.6745	"73,070,645"	"3,265,625"	22.3757	"92,641,426"	"3,307,266"	28.0115	"165,712,071"	"6,572,891"	25.2114
010095	10001	46220	01/01/2016	12/31/2016	" 518,924 "	" 19,550 "	26.5432	" 166,365 "	" 8,735 "	19.0458	" 330,025 "	" 34,793 "	9.4855	0 	0 	0.0000	"1,015,314"	"63,078"	16.0963	"1,399,861"	"82,014"	17.0686	"2,415,175"	"145,092"	16.6459
010097	10001	33860	01/01/2016	12/31/2016	" 1,277,825 "	" 47,427 "	26.9430	" 267,860 "	" 14,696 "	18.2261	" 114,210 "	" 11,100 "	10.2894	"279,707 "	"13,420 "	20.8420	"1,939,602"	"86,644"	22.3860	"2,335,828"	"137,741"	16.9581	"4,275,430"	"224,385"	19.0540
